date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 4,home,Garden City,W,10-0,10,0,10,win,20230204_fc3o,1,1,0,,,,1,2,1,,,,1,,0,0,,,,,4,2023,2022-23,div1,Eastern Oklahoma State,easternoklahomastatecollege,brandonherbp3nt,Brandon Herb
Feb 5,home,Garden City,W,13-2,13,2,11,win,20230205_qiwd,1,2,1,,,,1,1,,2,,1,,,1,0,,,,,3,2023,2022-23,div1,Eastern Oklahoma State,easternoklahomastatecollege,brandonherbp3nt,Brandon Herb
Feb 5,home,Garden City,W,8-6,8,6,2,win,20230205_8q7k,3,1,1,1,,,0,1,2,,,1,,,2,1,,,,,5,2023,2022-23,div1,Eastern Oklahoma State,easternoklahomastatecollege,brandonherbp3nt,Brandon Herb
Feb 13,home,Northeast Texas,W,11-4,11,4,7,win,20230213_yxpp,4,0,0,,,,0,,4,,,,,,0,0,,,,,4,2023,2022-23,div1,Eastern Oklahoma State,easternoklahomastatecollege,brandonherbp3nt,Brandon Herb
