date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 27  #,home,vs. Seminole State (OK),,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Oct 10  #,home,vs. Fort Scott,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 8,away,Carl Albert State,W,7-2,7,7,3,2,1,1,,,2,,,2,,1,,,2,1,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 8,away,Carl Albert State,L,2-0,2,2,3,0,2,,,,0,,,2,,,,,2,0,,,,,3,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 9,away,Carl Albert State,W,6-0,6,6,2,1,1,,,,0,2,1,,2,,,,1,0,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 9,away,Carl Albert State,W,13-4,13,13,3,2,2,,1,,3,,,,,1,,,4,1,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 14,away,Rose State,W,14-4,14,14,4,1,0,,,,0,2,3,,,,,,0,0,,,,,6,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 15,away,Rose State,W,8-0,8,8,3,0,0,,,,1,,1,1,,1,,,0,0,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 15,away,Rose State,L,9-5,9,9,4,2,2,1,,,0,,1,,,1,,,3,1,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 18,away,Hesston,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 21,away,Western Nebraska,W,7-0,7,7,4,1,0,,,,0,,1,,,,,,0,0,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 21,away,Western Nebraska,W,9-6,9,9,4,2,2,,1,,1,,,1,,1,,,4,1,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 22,away,Western Nebraska,W,10-0,10,10,4,1,1,,,,3,,2,,,,,,1,0,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 22,away,Western Nebraska,W,12-4,12,12,4,2,1,,,1,1,1,1,,,,,,4,1,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 26,home,Kansas Wesleyan University JV,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 27,home,Kansas Wesleyan University JV,W,5-0,5,5,4,2,3,,,,1,,,3,,,,,3,0,,1,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Feb 27,home,Kansas Wesleyan University JV,W,14-3,14,14,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 2,away,Kansas Wesleyan University JV,W,20-5,20,20,2,4,2,1,,1,2,1,,1,,2,,,6,2,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 2,away,Kansas Wesleyan University JV,W,12-1,12,12,4,2,2,,,1,4,,1,,,,,,5,1,,,,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 5,away,Hutchinson,W,4-3,4,4,3,1,1,,,,0,1,1,,,,,,1,0,,,1,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 5,away,Hutchinson,W,3-2,3,3,4,1,1,,,1,1,1,2,,,,,,4,1,,,1,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 7,home,Hutchinson,W,12-1,12,12,4,1,2,1,,,0,,1,,,,,,3,1,,,1,,4,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 7,home,Hutchinson,W,16-6,16,16,5,3,3,,,1,2,,1,,,,,,6,1,1,1,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 9,home,North Iowa Area,W,8-4,8,8,3,2,1,,,1,4,,1,,,1,1,,4,1,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 12,away,Colby,L,19-14,19,19,3,2,3,,1,,2,2,,1,1,,,,5,1,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 12,away,Colby,W,12-1,12,12,4,2,2,1,,,1,,,,1,1,,,3,1,,,,,5,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 14,home,Colby,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 14,home,Colby,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 14,home,Colby,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 14,home,Colby,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 19,away,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 19,away,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 19,away,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 19,away,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 21,home,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 21,home,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 21,home,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 21,home,Dodge City,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 24,home,Redlands,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 24,home,Redlands,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 24,home,Redlands,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
Mar 24,home,Redlands,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div1,Barton,bartoncommunitycollege,alexrodgerswl5h,Alex Rodgers
