date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 25,home,St. Louis,L,15-7,15,7,8,win,20180325_yoe9,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2018,2017-18,div1,Shawnee,shawneecommunitycollege,christianpearl4g5g,Christian Pearl
Apr 13,home,Wabash Valley,L,12-0,12,0,12,win,20180413_7x0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2018,2017-18,div1,Shawnee,shawneecommunitycollege,christianpearl4g5g,Christian Pearl
