date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 27,away,Chipola,L,4-2,4,4,3,1,1,,,1,2,1,1,,,,,,4,1,,,1,,4,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Jan 30,away,Andrew,L,12-11,12,12,2,1,1,1,,,0,,,,,,,,2,1,,,1,,2,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 6,home,Abraham Baldwin,W,5-4,5,5,3,0,1,,,,2,,,1,,,,,1,0,,1,1,1.00,3,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 6,home,Abraham Baldwin,W,16-3,16,16,3,2,2,1,,,4,1,,,,,,,3,1,,,1,,4,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 8,away,Chipola,W,4-3,4,4,4,0,1,,,,0,1,1,,1,,,,1,0,,1,1,1.00,5,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 14,away,Point University JV,W,6-3,6,6,5,0,2,,,,2,,,2,,,,,2,0,,1,2,0.50,5,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 15,away,Thomas University JV,W,16-3,16,16,2,0,2,,,,0,1,,,,,,,2,0,,,,,3,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 16,home,vs. Gordon State,L,5-2,5,5,3,0,2,,,,0,,,,1,,,,2,0,,1,,,3,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 16,home,vs. Columbia State,W,4-2,4,4,3,0,2,,,,1,,1,,,,,,2,0,,,,,3,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
Feb 17,home,Enterprise State,W,3-0,3,3,4,0,1,,,,0,,1,,,,,,1,0,,,2,,4,2018,2017-18,div1,Wallace-Dothan,wallacecommunitycollegedothan,mitchmclendonmidv,Mitch Mclendon
