date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 20,home,Wallace-Dothan,L,2-1,2,1,1.0,win,20170220_i49o,4,0,0,,,,0,,,,,1.0,win,20170220_i49o,,,,0,0,,,,,4,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Feb 24,home,Faulkner University,W,1-0,1,0,1.0,win,20170224_nniu,3,0,0,,,,0,,1,,,1.0,win,20170224_nniu,,,,0,0,,,,,3,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Feb 24,home,Faulkner University,L,11-7,11,7,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Mar 11,home,Chattahoochee Valley,L,14-2,14,2,12.0,win,20170311_3sf0,2,0,0,,,,0,,,,,12.0,win,20170311_3sf0,,,,0,0,,,,,2,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Mar 11,home,Chattahoochee Valley,L,2-1,2,1,1.0,win,20170311_hm9p,3,0,0,,,,0,,,,,1.0,win,20170311_hm9p,,,,0,0,,,,,3,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Mar 18,home,Coastal Alabama - Monroeville,L,11-9,11,9,2.0,win,20170318_0rz7,5,1,3,1,,,2,,,,,2.0,win,20170318_0rz7,,,,4,1,,,,,5,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Mar 18,home,Coastal Alabama - Monroeville,W,6-2,6,2,4.0,win,20170318_qb8c,1,2,0,,,,0,2,,,,4.0,win,20170318_qb8c,1,,,0,0,,,,,4,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Mar 23,home,Coastal Alabama - Bay Minette,L,5-4,5,4,1.0,win,20170323_fskw,2,1,0,,,,0,1,,,,1.0,win,20170323_fskw,1,,,0,0,,,,,4,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Mar 23,home,Coastal Alabama - Bay Minette,L,5-0,5,0,5.0,win,20170323_9lfz,3,0,0,,,,0,,,,,5.0,win,20170323_9lfz,,,,0,0,,,,,3,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
Apr 7,home,Wallace-Selma,L,14-6,14,6,8.0,win,20170407_6lym,3,2,2,,,,1,,1,,,8.0,win,20170407_6lym,1,,,2,0,,,,,4,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,loganjesterdv6j,Logan Jester
