date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 5,home,Central Florida,W,3-2,3,2,1.0,win,20140205_fbsz,4,0,0,,,,0,,1,,,1.0,win,20140205_fbsz,,,,0,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Feb 7,home,Santa Fe,W,14-8,14,8,6.0,win,20140207_doir,5,2,3,1,,,2,,,,,6.0,win,20140207_doir,,,,4,1,,,,,5,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Feb 11,home,Seminole State (FL),W,10-6,10,6,4.0,win,20140211_cpp4,2,1,0,,,,0,1,,,,4.0,win,20140211_cpp4,1,,,0,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Feb 16,home,Pasco-Hernando State,W,7-6,7,6,1.0,win,20140216_80qy,1,0,0,,,,0,,,,,1.0,win,20140216_80qy,,,,0,0,,,,,1,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Feb 18,home,St. Johns River State,W,5-2,5,2,3.0,win,20140218_vo4r,4,1,1,,,,0,,1,1,,3.0,win,20140218_vo4r,,,,1,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Feb 21,home,Lake-Sumter State,W,14-6,14,6,8.0,win,20140221_86og,0,0,0,,,,0,,,,,8.0,win,20140221_86og,,,,0,0,,,,,0,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 1,home,Miami Dade,L,16-0,16,0,16.0,win,,,,,,,,,,,,,16.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 1,home,Miami Dade,W,4-1,4,1,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 3,home,Polk State,W,7-1,7,1,6.0,win,20140303_e2mj,3,1,1,,,,2,,,,,6.0,win,20140303_e2mj,,1,,1,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 7,home,Polk State,W,8-1,8,1,7.0,win,20140307_onv5,5,1,3,1,,,2,,,,,7.0,win,20140307_onv5,,,,4,1,,,,,5,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 12,home,Hillsborough,W,6-3,6,3,3.0,win,20140312_q7ja,3,2,1,,,,0,1,1,2,,3.0,win,20140312_q7ja,,,,1,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 14,home,State College of Florida,L,5-3,5,3,2.0,win,20140314_12cj,4,0,2,,,,1,,1,,,2.0,win,20140314_12cj,,,,2,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 19,home,South Florida State,W,2-1,2,1,1.0,win,20140319_04ok,4,0,1,,,,0,,1,,,1.0,win,20140319_04ok,,,,1,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 22,home,South Florida State,W,7-0,7,0,7.0,win,20140322_oeeg,4,0,0,,,,0,,1,,,7.0,win,20140322_oeeg,,,,0,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Mar 31,home,Polk State,L,10-4,10,4,6.0,win,20140331_wxi6,4,0,0,,,,1,,1,,,6.0,win,20140331_wxi6,,,,0,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
Apr 7,home,Hillsborough,W,3-1,3,1,2.0,win,20140407_avn5,4,0,2,,,,0,,1,,1,2.0,win,20140407_avn5,,,,2,0,,,,,4,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,treyamburgeyclel,Trey Amburgey
