season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2020,div1,ASA New York,asabrooklynavengers,1824,355.0,299.0,65.0,87.0,14.0,2.0,6.0,47.0,12.0,4.0,45.0,91.0,123.0,10.0,1.0,0.0,22.0,1.0,38.0,36.0,1.056,0.291,0.4,0.485,0.885,97.0,0.401,0.434,0.017,0.256,0.127,0.129,0.495
2020,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,1943,750.0,612.0,132.0,166.0,38.0,2.0,9.0,112.0,34.0,8.0,96.0,183.0,235.0,28.0,2.0,12.0,49.0,7.0,57.0,104.0,0.548,0.271,0.387,0.464,0.851,93.0,0.363,0.438,0.012,0.244,0.128,0.116,0.525
2020,div1,Allen County,allencountycommunitycollege,2975,602.0,488.0,134.0,164.0,33.0,5.0,17.0,113.0,26.0,9.0,67.0,107.0,258.0,35.0,7.0,5.0,55.0,4.0,0.0,0.0,,0.336,0.442,0.641,1.083,118.0,0.398,0.47,0.028,0.178,0.111,0.067,0.626
2020,div1,Alvin,alvincommunitycollege,2346,820.0,660.0,107.0,149.0,33.0,4.0,16.0,92.0,31.0,13.0,121.0,218.0,238.0,27.0,5.0,7.0,53.0,3.0,6.0,4.0,1.5,0.226,0.362,0.441,0.803,88.0,0.307,0.324,0.02,0.266,0.148,0.118,0.555
2020,div1,Andrew,andrewcollege,2415,934.0,741.0,170.0,240.0,46.0,7.0,16.0,147.0,86.0,12.0,133.0,187.0,348.0,30.0,30.0,0.0,69.0,6.0,0.0,0.0,,0.324,0.431,0.563,0.994,108.0,0.416,0.398,0.017,0.2,0.142,0.058,0.711
2020,div1,Angelina,angelinacollege,2550,656.0,552.0,82.0,134.0,18.0,1.0,3.0,57.0,28.0,7.0,72.0,121.0,163.0,19.0,13.0,0.0,22.0,0.0,0.0,0.0,,0.243,0.343,0.335,0.678,74.0,0.306,0.356,0.005,0.184,0.11,0.074,0.595
2020,div1,Arizona Western,arizonawesterncollege,2028,992.0,809.0,176.0,229.0,42.0,3.0,8.0,145.0,36.0,16.0,132.0,188.0,301.0,25.0,16.0,10.0,53.0,14.0,9.0,7.0,1.286,0.283,0.389,0.438,0.827,90.0,0.355,0.444,0.008,0.19,0.133,0.057,0.702
2020,div1,Barton,bartoncommunitycollege,4080,806.0,672.0,211.0,219.0,52.0,13.0,31.0,184.0,45.0,12.0,84.0,151.0,390.0,32.0,7.0,11.0,96.0,7.0,33.0,33.0,1.0,0.326,0.416,0.723,1.139,124.0,0.375,0.592,0.038,0.187,0.104,0.083,0.556
2020,div1,Baton Rouge,batonrougecommunitycollege,2664,1034.0,856.0,155.0,218.0,39.0,3.0,8.0,125.0,79.0,30.0,116.0,201.0,287.0,47.0,9.0,6.0,50.0,2.0,14.0,13.0,1.077,0.255,0.368,0.394,0.762,83.0,0.322,0.394,0.008,0.194,0.112,0.082,0.577
2020,div1,Bevill State,bevillstatecommunitycollege,2856,430.0,353.0,63.0,85.0,14.0,1.0,2.0,50.0,14.0,2.0,54.0,82.0,107.0,11.0,9.0,3.0,17.0,7.0,0.0,0.0,,0.241,0.349,0.351,0.7,76.0,0.305,0.412,0.005,0.191,0.126,0.065,0.659
