season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2014,div1,ASA New York,asabrooklynavengers,1575,1623.0,1295.0,296.0,382.0,59.0,7.0,9.0,252.0,109.0,26.0,223.0,230.0,482.0,65.0,20.0,20.0,75.0,10.0,410.0,280.0,1.464,0.295,0.413,0.43,0.843,98.0,0.347,0.434,0.006,0.142,0.137,0.005,0.97
2014,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,1377,1754.0,1471.0,248.0,406.0,52.0,5.0,8.0,186.0,88.0,24.0,176.0,254.0,492.0,52.0,37.0,18.0,65.0,32.0,370.0,270.0,1.37,0.276,0.361,0.379,0.74,86.0,0.324,0.383,0.005,0.145,0.1,0.045,0.693
2014,div1,Allen County,allencountycommunitycollege,1457,1468.0,1269.0,202.0,339.0,64.0,8.0,17.0,173.0,25.0,12.0,122.0,272.0,470.0,35.0,32.0,10.0,89.0,0.0,43.0,39.0,1.103,0.267,0.338,0.441,0.779,91.0,0.325,0.386,0.012,0.185,0.083,0.102,0.449
2014,div1,Alvin,alvincommunitycollege,1576,1926.0,1637.0,335.0,526.0,92.0,20.0,11.0,283.0,43.0,10.0,212.0,221.0,691.0,40.0,23.0,14.0,123.0,8.0,72.0,72.0,1.0,0.321,0.404,0.497,0.901,105.0,0.363,0.422,0.006,0.115,0.11,0.005,0.959
2014,div1,Andrew,andrewcollege,1391,1666.0,1421.0,201.0,348.0,63.0,16.0,4.0,179.0,66.0,6.0,164.0,379.0,455.0,38.0,28.0,15.0,83.0,2.0,34.0,24.0,1.417,0.245,0.33,0.379,0.709,83.0,0.327,0.361,0.002,0.227,0.098,0.129,0.433
2014,div1,Angelina,angelinacollege,1572,1719.0,1523.0,205.0,435.0,54.0,10.0,10.0,180.0,61.0,25.0,127.0,240.0,539.0,32.0,24.0,13.0,74.0,0.0,0.0,0.0,,0.286,0.346,0.402,0.748,87.0,0.33,0.334,0.006,0.14,0.074,0.066,0.529
2014,div1,Arizona Western,arizonawesterncollege,1450,2027.0,1679.0,307.0,479.0,93.0,13.0,9.0,252.0,52.0,12.0,238.0,316.0,625.0,68.0,19.0,23.0,115.0,7.0,473.0,399.0,1.185,0.285,0.387,0.441,0.828,97.0,0.341,0.384,0.004,0.156,0.117,0.039,0.753
2014,div1,Arkansas Baptist,arkansasbaptistcollege,1508,1746.0,1465.0,275.0,393.0,57.0,5.0,12.0,229.0,87.0,24.0,157.0,288.0,496.0,58.0,46.0,20.0,74.0,4.0,69.0,48.0,1.438,0.268,0.348,0.389,0.737,86.0,0.322,0.441,0.007,0.165,0.09,0.075,0.545
2014,div1,Barton,bartoncommunitycollege,1922,2152.0,1777.0,449.0,558.0,111.0,27.0,25.0,378.0,63.0,17.0,216.0,337.0,798.0,77.0,57.0,25.0,163.0,14.0,283.0,253.0,1.119,0.314,0.395,0.541,0.936,109.0,0.37,0.513,0.012,0.157,0.1,0.057,0.641
2014,div1,Baton Rouge,batonrougecommunitycollege,1995,2020.0,1726.0,234.0,405.0,50.0,10.0,9.0,181.0,54.0,17.0,181.0,388.0,501.0,63.0,44.0,6.0,69.0,0.0,425.0,357.0,1.19,0.235,0.321,0.331,0.652,76.0,0.297,0.352,0.004,0.192,0.09,0.102,0.466
2014,div1,Bishop State,bishopstatecommunitycollege,799,1331.0,1208.0,137.0,306.0,41.0,1.0,6.0,73.0,9.0,1.0,85.0,227.0,367.0,22.0,14.0,2.0,48.0,0.0,23.0,10.0,2.3,0.253,0.31,0.344,0.654,76.0,0.307,0.322,0.005,0.171,0.064,0.107,0.374
2014,div1,Blinn,blinncollege,2185,2190.0,1883.0,324.0,526.0,98.0,12.0,31.0,271.0,78.0,24.0,186.0,428.0,741.0,65.0,38.0,18.0,141.0,9.0,94.0,64.0,1.469,0.279,0.355,0.468,0.823,96.0,0.343,0.393,0.014,0.195,0.085,0.11,0.435
2014,div1,Bossier Parish,bossierparishcommunitycollege,1729,1992.0,1735.0,242.0,469.0,74.0,14.0,8.0,199.0,96.0,27.0,172.0,333.0,595.0,41.0,27.0,17.0,96.0,1.0,13.0,6.0,2.167,0.27,0.342,0.398,0.74,86.0,0.327,0.347,0.004,0.167,0.086,0.081,0.517
2014,div1,Broward,browardcollege,1196,1834.0,1553.0,271.0,427.0,80.0,23.0,23.0,235.0,99.0,26.0,205.0,381.0,622.0,42.0,12.0,22.0,126.0,0.0,0.0,0.0,,0.275,0.368,0.482,0.85,99.0,0.345,0.381,0.013,0.208,0.112,0.096,0.538
2014,div1,Butler,butlercommunitycollegeks,1829,2188.0,1829.0,426.0,558.0,108.0,15.0,33.0,364.0,158.0,38.0,230.0,338.0,795.0,82.0,29.0,18.0,156.0,17.0,349.0,228.0,1.531,0.305,0.398,0.52,0.918,107.0,0.356,0.47,0.015,0.154,0.105,0.049,0.68
2014,div1,Calhoun,calhouncommunitycollege,1820,1868.0,1608.0,215.0,436.0,69.0,3.0,7.0,180.0,24.0,16.0,156.0,253.0,532.0,36.0,51.0,17.0,79.0,3.0,441.0,382.0,1.154,0.271,0.336,0.38,0.716,84.0,0.314,0.335,0.004,0.135,0.084,0.051,0.617
2014,div1,Central Alabama,centralalabamacommunitycollege,1326,1877.0,1547.0,259.0,415.0,73.0,5.0,12.0,224.0,43.0,15.0,200.0,309.0,534.0,61.0,53.0,16.0,90.0,0.0,0.0,4.0,0.0,0.268,0.36,0.403,0.763,89.0,0.324,0.372,0.006,0.165,0.107,0.058,0.647
2014,div1,Central Arizona,centralarizonacollege,1682,2118.0,1790.0,381.0,559.0,121.0,15.0,26.0,329.0,95.0,18.0,180.0,312.0,788.0,91.0,35.0,22.0,162.0,3.0,391.0,388.0,1.008,0.312,0.392,0.531,0.923,108.0,0.362,0.442,0.012,0.147,0.085,0.062,0.577
2014,div1,Central Florida,collegeofcentralflorida,1404,1977.0,1820.0,366.0,563.0,92.0,21.0,33.0,319.0,57.0,29.0,151.0,219.0,796.0,4.0,1.0,1.0,146.0,1.0,9.0,14.0,0.643,0.309,0.363,0.518,0.881,103.0,0.338,0.486,0.017,0.111,0.076,0.035,0.689
2014,div1,Chattahoochee Valley,chattahoocheevalleycommunitycollege,2016,2236.0,1858.0,456.0,637.0,98.0,21.0,23.0,402.0,157.0,24.0,231.0,258.0,846.0,73.0,43.0,31.0,142.0,1.0,25.0,17.0,1.471,0.343,0.421,0.532,0.953,111.0,0.382,0.472,0.01,0.115,0.103,0.012,0.895
2014,div1,Chattanooga State,chattanoogastatecommunitycollege,1075,1422.0,1201.0,222.0,359.0,60.0,12.0,12.0,208.0,38.0,9.0,170.0,201.0,479.0,17.0,16.0,18.0,84.0,7.0,143.0,113.0,1.265,0.299,0.384,0.469,0.853,100.0,0.345,0.393,0.008,0.141,0.12,0.021,0.846
2014,div1,Chesapeake,chesapeakecollege,1924,1714.0,1439.0,286.0,417.0,78.0,8.0,19.0,216.0,45.0,13.0,179.0,264.0,568.0,57.0,22.0,17.0,105.0,2.0,44.0,39.0,1.128,0.29,0.381,0.468,0.849,99.0,0.339,0.421,0.011,0.154,0.104,0.05,0.678
2014,div1,Chipola,chipolacollege,1248,1778.0,1455.0,359.0,457.0,73.0,23.0,43.0,321.0,75.0,35.0,214.0,264.0,702.0,63.0,13.0,33.0,139.0,4.0,67.0,79.0,0.848,0.314,0.413,0.58,0.993,116.0,0.351,0.457,0.024,0.148,0.12,0.028,0.811
2014,div1,Cisco,ciscocollege,1850,1839.0,1552.0,353.0,527.0,99.0,23.0,24.0,308.0,29.0,4.0,168.0,258.0,744.0,70.0,21.0,28.0,146.0,0.0,0.0,0.0,,0.34,0.416,0.573,0.989,116.0,0.388,0.444,0.013,0.14,0.091,0.049,0.651
2014,div1,Clarendon,clarendoncollege,1508,1841.0,1584.0,336.0,513.0,97.0,15.0,40.0,305.0,38.0,12.0,173.0,276.0,760.0,42.0,19.0,23.0,152.0,0.0,0.0,0.0,,0.324,0.395,0.576,0.971,113.0,0.366,0.43,0.022,0.15,0.094,0.056,0.627
2014,div1,Cleveland State,clevelandstatecommunitycollege,1400,1716.0,1437.0,276.0,412.0,80.0,3.0,13.0,228.0,75.0,18.0,184.0,207.0,537.0,44.0,25.0,26.0,96.0,31.0,396.0,412.0,0.961,0.287,0.373,0.441,0.814,95.0,0.321,0.419,0.008,0.121,0.107,0.014,0.889
2014,div1,Cloud County,cloudcountycommunitycollege,1377,1569.0,1332.0,280.0,396.0,59.0,16.0,22.0,253.0,46.0,16.0,157.0,281.0,553.0,48.0,18.0,14.0,97.0,7.0,105.0,89.0,1.18,0.297,0.383,0.488,0.871,102.0,0.359,0.446,0.014,0.179,0.1,0.079,0.559
2014,div1,Coastal Alabama - Bay Minette,faulknerstatecommunitycollege,641,1728.0,1410.0,320.0,462.0,62.0,5.0,13.0,277.0,38.0,18.0,168.0,165.0,573.0,60.0,66.0,24.0,80.0,0.0,0.0,2.0,0.0,0.328,0.399,0.463,0.862,101.0,0.357,0.453,0.008,0.095,0.097,-0.002,1.018
2014,div1,Coastal Alabama - Brewton,jeffersondaviscommunitycollege,1624,1864.0,1543.0,305.0,460.0,72.0,5.0,15.0,266.0,34.0,16.0,214.0,241.0,587.0,46.0,41.0,20.0,92.0,0.0,0.0,5.0,0.0,0.298,0.386,0.44,0.826,96.0,0.34,0.411,0.008,0.129,0.115,0.014,0.888
2014,div1,Coastal Alabama - Monroeville,alabamasoutherncommunitycollege,1458,1930.0,1646.0,342.0,535.0,83.0,16.0,15.0,270.0,141.0,35.0,165.0,200.0,695.0,49.0,47.0,23.0,114.0,0.0,0.0,1.0,0.0,0.325,0.388,0.491,0.879,103.0,0.358,0.446,0.008,0.104,0.085,0.019,0.825
2014,div1,Cochise,cochisecollege,1541,2486.0,2060.0,406.0,567.0,112.0,17.0,22.0,339.0,62.0,32.0,287.0,408.0,779.0,92.0,27.0,20.0,151.0,3.0,46.0,43.0,1.07,0.275,0.381,0.451,0.832,97.0,0.33,0.416,0.009,0.164,0.115,0.049,0.703
2014,div1,Coffeyville,coffeyvillecommunitycollege,898,2044.0,1733.0,397.0,579.0,109.0,17.0,37.0,348.0,134.0,19.0,176.0,288.0,833.0,58.0,54.0,23.0,163.0,0.0,0.0,0.0,,0.334,0.398,0.575,0.973,114.0,0.379,0.464,0.018,0.141,0.086,0.055,0.611
