season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,div1,ASA New York,asabrooklynavengers,1950,1829.0,1491.0,436.0,560.0,93.0,25.0,27.0,359.0,129.0,17.0,223.0,257.0,784.0,64.0,17.0,34.0,145.0,10.0,322.0,360.0,0.894,0.376,0.463,0.623,1.086,115.0,0.429,0.499,0.015,0.141,0.122,0.019,0.868
2016,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,1596,1913.0,1632.0,299.0,464.0,73.0,10.0,38.0,266.0,96.0,20.0,193.0,357.0,671.0,63.0,12.0,13.0,121.0,25.0,0.0,0.0,,0.284,0.376,0.485,0.861,91.0,0.341,0.383,0.02,0.187,0.101,0.086,0.541
2016,div1,Allen County,allencountycommunitycollege,1824,2023.0,1753.0,437.0,582.0,111.0,19.0,81.0,412.0,38.0,17.0,165.0,317.0,974.0,82.0,11.0,12.0,211.0,8.0,71.0,68.0,1.044,0.332,0.41,0.676,1.086,115.0,0.366,0.476,0.04,0.157,0.082,0.075,0.521
2016,div1,Alvin,alvincommunitycollege,1586,1604.0,1337.0,222.0,368.0,66.0,7.0,32.0,213.0,18.0,6.0,189.0,328.0,544.0,39.0,29.0,10.0,105.0,16.0,57.0,36.0,1.583,0.275,0.372,0.485,0.857,91.0,0.34,0.337,0.02,0.204,0.118,0.086,0.576
2016,div1,Andrew,andrewcollege,1537,1820.0,1597.0,253.0,462.0,92.0,8.0,24.0,227.0,98.0,23.0,141.0,362.0,642.0,44.0,23.0,15.0,124.0,29.0,0.0,0.0,,0.289,0.355,0.48,0.835,88.0,0.357,0.368,0.013,0.199,0.077,0.122,0.39
2016,div1,Angelina,angelinacollege,1643,1688.0,1428.0,300.0,432.0,80.0,5.0,41.0,260.0,42.0,23.0,155.0,304.0,645.0,57.0,38.0,10.0,126.0,12.0,109.0,96.0,1.135,0.303,0.382,0.54,0.922,98.0,0.358,0.43,0.024,0.18,0.092,0.088,0.51
2016,div1,Arizona Western,arizonawesterncollege,1431,1891.0,1615.0,310.0,494.0,104.0,13.0,26.0,275.0,54.0,9.0,179.0,393.0,702.0,60.0,24.0,13.0,143.0,29.0,398.0,292.0,1.363,0.306,0.388,0.523,0.911,97.0,0.387,0.402,0.014,0.208,0.095,0.113,0.455
2016,div1,Arkansas Baptist,arkansasbaptistcollege,1590,1743.0,1452.0,268.0,410.0,82.0,5.0,14.0,224.0,160.0,49.0,194.0,305.0,544.0,74.0,11.0,12.0,101.0,25.0,15.0,8.0,1.875,0.282,0.389,0.444,0.833,88.0,0.346,0.383,0.008,0.175,0.111,0.064,0.636
2016,div1,Barton,bartoncommunitycollege,1830,2040.0,1748.0,423.0,554.0,107.0,30.0,25.0,359.0,128.0,37.0,171.0,388.0,796.0,77.0,19.0,25.0,162.0,24.0,175.0,126.0,1.389,0.317,0.393,0.548,0.941,100.0,0.389,0.512,0.012,0.19,0.084,0.106,0.441
2016,div1,Baton Rouge,batonrougecommunitycollege,1800,1662.0,1430.0,292.0,442.0,79.0,12.0,21.0,211.0,63.0,24.0,151.0,266.0,608.0,42.0,21.0,18.0,112.0,31.0,280.0,258.0,1.085,0.309,0.382,0.503,0.885,94.0,0.363,0.441,0.013,0.16,0.091,0.069,0.568
