season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,div1,Central Alabama,centralalabamacommunitycollege,2234,1837.0,1577.0,218.0,378.0,61.0,12.0,12.0,175.0,53.0,16.0,174.0,348.0,497.0,50.0,27.0,9.0,85.0,1.0,0.0,0.0,,0.24,0.328,0.37,0.698,73.0,0.299,0.349,0.007,0.189,0.095,0.094,0.5
2018,div1,Central Arizona,centralarizonacollege,1915,2172.0,1776.0,482.0,597.0,129.0,34.0,45.0,406.0,165.0,33.0,235.0,357.0,929.0,92.0,38.0,31.0,208.0,28.0,370.0,385.0,0.961,0.336,0.425,0.64,1.065,112.0,0.393,0.497,0.021,0.164,0.108,0.056,0.658
2018,div1,Central Florida,collegeofcentralflorida,1296,1910.0,1587.0,413.0,511.0,87.0,11.0,93.0,379.0,39.0,13.0,226.0,355.0,899.0,78.0,5.0,14.0,191.0,24.0,0.0,0.0,,0.322,0.427,0.687,1.114,117.0,0.363,0.443,0.049,0.186,0.118,0.068,0.637
2018,div1,Chattahoochee Valley,chattahoocheevalleycommunitycollege,2020,2134.0,1764.0,491.0,622.0,127.0,16.0,62.0,438.0,107.0,19.0,240.0,304.0,967.0,86.0,15.0,29.0,205.0,2.0,12.0,9.0,1.333,0.353,0.444,0.664,1.108,116.0,0.392,0.484,0.029,0.142,0.112,0.03,0.789
2018,div1,Chattanooga State,chattanoogastatecommunitycollege,1392,1841.0,1503.0,386.0,457.0,86.0,17.0,24.0,331.0,95.0,14.0,242.0,315.0,649.0,66.0,13.0,17.0,127.0,11.0,133.0,143.0,0.93,0.304,0.416,0.516,0.932,98.0,0.367,0.489,0.013,0.171,0.131,0.04,0.768
2018,div1,Chesapeake,chesapeakecollege,2210,1925.0,1541.0,542.0,547.0,120.0,28.0,68.0,450.0,77.0,19.0,279.0,295.0,927.0,70.0,8.0,27.0,216.0,20.0,295.0,352.0,0.838,0.355,0.465,0.742,1.207,127.0,0.398,0.572,0.035,0.153,0.145,0.008,0.946
2018,div1,Chipola,chipolacollege,1980,2491.0,2088.0,503.0,654.0,105.0,17.0,75.0,444.0,47.0,15.0,269.0,411.0,1018.0,84.0,17.0,33.0,197.0,45.0,55.0,72.0,0.764,0.313,0.404,0.582,0.986,104.0,0.354,0.459,0.03,0.165,0.108,0.057,0.655
2018,div1,Cisco,ciscocollege,2262,2169.0,1779.0,589.0,715.0,152.0,21.0,81.0,535.0,81.0,19.0,287.0,253.0,1152.0,45.0,24.0,34.0,254.0,47.0,0.0,0.0,,0.402,0.483,0.79,1.273,134.0,0.429,0.526,0.037,0.117,0.132,-0.015,1.134
2018,div1,Clarendon,clarendoncollege,1745,2080.0,1721.0,583.0,638.0,145.0,31.0,95.0,527.0,82.0,14.0,246.0,337.0,1130.0,77.0,10.0,26.0,271.0,27.0,0.0,0.0,,0.371,0.462,0.814,1.276,134.0,0.413,0.564,0.046,0.162,0.118,0.044,0.73
2018,div1,Cleveland State,clevelandstatecommunitycollege,1767,2042.0,1698.0,407.0,549.0,110.0,9.0,40.0,345.0,66.0,11.0,247.0,303.0,797.0,45.0,16.0,36.0,159.0,37.0,419.0,420.0,0.998,0.323,0.412,0.563,0.975,102.0,0.366,0.458,0.02,0.148,0.121,0.027,0.815
