season,njcaa_season,team,team_id,player_id,player_name,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2014,2013-14,ASA New York,asabrooklynavengers,alexechevarriaeftx,Alex Echevarria,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,bryanflores3qti,Bryan Flores,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,carlostejedaef27,Carlos Tejeda,45,7.0,3.0,4.0,0.0,1.0,39.0,20.0,12.0,0.6,14.0,36.0
2014,2013-14,ASA New York,asabrooklynavengers,danaurisbaezcl65,Danauris Baez,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,danielrodriguezyft3,Daniel Rodriguez,45,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,2.0,1.0
2014,2013-14,ASA New York,asabrooklynavengers,davidrodriguezr5ad,David Rodriguez,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,eduardohiraldodq7f,Eduardo Hiraldo,45,0.0,1.0,0.0,0.0,1.0,7.0,1.0,2.0,2.0,2.0,3.0
2014,2013-14,ASA New York,asabrooklynavengers,eduinvaldezv9f8,Eduin Valdez,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,edwardmaderanxx5,Edward Madera,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,emmanuelcastro0mnh,Emmanuel Castro,45,1.0,2.0,0.0,1.0,0.667,13.0,8.0,1.0,0.125,7.0,15.0
2014,2013-14,ASA New York,asabrooklynavengers,franklynrojaspy78,Franklyn Rojas,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,gilbertomendozat5la,Gilberto Mendoza,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,hendryrodriguez3bzh,Hendry Rodriguez,45,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,5.0
2014,2013-14,ASA New York,asabrooklynavengers,jeffreyvalerasq6h,Jeffrey Valera,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,jeovannytolentino60rf,Jeovanny Tolentino,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,jesusreyesljip,Jesus Reyes,45,9.0,3.0,3.0,0.0,1.0,38.0,30.0,24.0,0.8,27.0,72.0
2014,2013-14,ASA New York,asabrooklynavengers,jimtollepfid,Jim Tolle,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,jonathanfloreshsd9,Jonathan Flores,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,josecirineoh3go,Jose Cirineo,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,ASA New York,asabrooklynavengers,josephfernandez9um1,Joseph Fernandez,45,4.0,2.0,1.0,1.0,0.75,39.0,23.0,15.0,0.652,12.0,14.0
2014,2013-14,ASA New York,asabrooklynavengers,josereynosovm4k,Jose Reynoso,45,0.0,1.0,0.0,0.0,1.0,8.0,7.0,2.0,0.286,6.0,2.0
2014,2013-14,ASA New York,asabrooklynavengers,julianlanfrancoolmy,Julian Lanfranco,45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
