season,njcaa_season,team,team_id,player_id,player_name,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,kolbywebb75ef,Kolby Webb,26,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,lakinwoods7lse,Lakin Woods,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,logenwalker03ov,Logen Walker,25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,masonlemons2nu4,Mason Lemons,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,michaelwhitelbjb,Michael White,6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,phillippasthingos2m,Phillip Pasthing,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,rogeralexzanderbhq3,Roger Alexzander,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,sammylemondpzdu,Sammy Lemond,25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,thomasjordanjvu8,Thomas Jordan,11,0.0,6.0,0.0,0.0,1.0,35.0,20.0,11.0,0.55,13.9,16.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,trentjordannse5,Trent Jordan,9,0.0,6.0,1.0,0.0,1.0,33.0,15.0,8.0,0.533,14.34,19.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,trentonsmithqsxl,Trenton Smith,2,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,3.21,2.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,tristanwheelusf6z3,Tristan Wheelus,25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,tuckerchristianom2v,Tucker Christian,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,warrendavisnr7z,Warren Davis,2,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,1.0,4.5,1.0
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,westonpeschierz5bq,Weston Peschier,6,0.0,0.0,0.0,1.0,0.0,17.0,9.0,6.0,0.667,11.5,5.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,bowmanhorn0040,Bowman Horn,14,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
