season,njcaa_season,team,team_id,player_id,player_name,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2016,2015-16,ASA Miami,asacollegemiami,alexvalverdex732,Alex Valverde,44,0.0,1.0,2.0,1.0,0.75,28.0,17.0,14.0,0.824,7.0,20.0
2016,2015-16,ASA Miami,asacollegemiami,amadochirinosmr2d,Amado Chirinos,44,6.0,4.0,2.0,0.0,1.0,49.0,34.0,24.0,0.706,16.0,26.0
2016,2015-16,ASA Miami,asacollegemiami,andyescanorwmw,Andy Escano,44,4.0,0.0,4.0,0.0,1.0,48.0,30.0,13.0,0.433,13.0,12.0
2016,2015-16,ASA Miami,asacollegemiami,andygarciaqfml,Andy Garcia,44,0.0,0.0,1.0,0.0,1.0,15.0,7.0,6.0,0.857,3.0,13.0
2016,2015-16,ASA Miami,asacollegemiami,angelortizl8zm,Angel Ortiz,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,ariellauriesmvt2,Ariel Lauries,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,austinvoelleremxx,Austin Voeller,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,blaynebakerpmia,Blayne Baker,44,2.0,1.0,0.0,0.0,1.0,13.0,12.0,9.0,0.75,14.0,10.0
2016,2015-16,ASA Miami,asacollegemiami,chrisgrullon9nct,Chris Grullon,44,4.0,6.0,3.0,1.0,0.9,51.0,34.0,29.0,0.853,24.0,62.0
2016,2015-16,ASA Miami,asacollegemiami,christiancuba31cc,Christian Cuba,44,3.0,0.0,3.0,3.0,0.5,22.0,22.0,16.0,0.727,20.0,31.0
2016,2015-16,ASA Miami,asacollegemiami,christianibanezyeni,Christian Ibanez,44,0.0,1.0,0.0,1.0,0.5,23.0,17.0,14.0,0.824,9.0,6.0
2016,2015-16,ASA Miami,asacollegemiami,chrisvarelaxp77,Chris Varela,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,damiansenisesqwxj,Damian Senises,44,0.0,0.0,2.0,2.0,0.5,9.0,10.0,7.0,0.7,7.0,8.0
2016,2015-16,ASA Miami,asacollegemiami,dannydiaz6tvy,Danny Diaz,44,1.0,3.0,0.0,0.0,1.0,17.0,13.0,10.0,0.769,7.0,22.0
2016,2015-16,ASA Miami,asacollegemiami,erickgonzalezuixv,Erick Gonzalez,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,franciscorodriguezutyo,Francisco Rodriguez,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,frankfollacos2fj,Frank Follaco,44,5.0,1.0,5.0,0.0,1.0,56.0,36.0,35.0,0.972,20.0,37.0
2016,2015-16,ASA Miami,asacollegemiami,germanmarcos3go1,German Marcos,44,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,1.0,1.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,jessedurank0c4,Jesse Duran,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,joeljimenezfrvm,Joel Jimenez,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,johnnyjhonesfqch,Johnny Jhones,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,jorgelopeziyc8,Jorge Lopez,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,josefigueroardng,Jose Figueroa,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,josemendezsk2y,Jose Mendez,44,0.0,0.0,0.0,0.0,,23.0,20.0,19.0,0.95,5.0,10.0
2016,2015-16,ASA Miami,asacollegemiami,josephcamposcf4x,Joseph Campos,44,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,1.0,1.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,josequintanac1tx,Jose Quintana,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,kendrickgarciacqul,Kendrick Garcia,44,0.0,0.0,0.0,0.0,,7.0,6.0,5.0,0.833,3.0,3.0
2016,2015-16,ASA Miami,asacollegemiami,kevinrodriguezuavp,Kevin Rodriguez,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,luismartinezcxz5,Luis Martinez,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA Miami,asacollegemiami,michaelrodriguezaxxn,Michael Rodriguez,44,8.0,1.0,3.0,0.0,1.0,55.0,48.0,24.0,0.5,18.0,37.0
2016,2015-16,ASA Miami,asacollegemiami,nicholasramirezymry,Nicholas Ramirez,44,0.0,0.0,0.0,0.0,,5.0,9.0,9.0,1.0,2.0,2.0
2016,2015-16,ASA Miami,asacollegemiami,pieroamadorzi86,Piero Amador,44,0.0,0.0,0.0,0.0,,9.0,9.0,8.0,0.889,8.0,4.0
2016,2015-16,ASA Miami,asacollegemiami,sergiochilp10d,Sergio Chil,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,2015-16,ASA New York,asabrooklynavengers,bryandelgado32d0,Bryan Delgado,59,0.0,2.0,0.0,2.0,0.5,29.0,23.0,21.0,0.913,16.0,32.0
