season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2019,2018-19,ASA Miami,asacollegemiami,4.0,17.0,22.0,2.0,294.1,308.0,291.0,232.0,277.0,306.0,13.0,0.436,7.1,74.0,1.989,9.425,0.398,8.477,9.364,1.105,8.905
2019,2018-19,ASA New York,asabrooklynavengers,24.0,7.0,17.0,0.0,152.2,148.0,143.0,101.0,136.0,170.0,9.0,0.292,5.972,88.0,1.866,8.752,0.532,8.042,10.053,1.25,8.456
2019,2018-19,Abraham Baldwin,abrahambaldwinagriculturalcollege,46.0,15.0,31.0,7.0,318.2,432.0,374.0,278.0,257.0,261.0,43.0,0.326,7.863,67.0,2.165,12.219,1.216,7.269,7.382,1.016,10.578
2019,2018-19,Allegany Maryland,alleganycollegeofmaryland,36.0,16.0,24.0,4.0,263.4,346.0,277.0,219.0,192.0,249.0,25.0,0.4,7.483,71.0,2.043,11.822,0.854,6.56,8.508,1.297,9.465
2019,2018-19,Allegheny County-Boyce,ccofalleghenycountyboyce,27.0,19.0,11.0,0.0,212.9,218.0,170.0,137.0,115.0,230.0,3.0,0.633,5.791,91.0,1.564,9.216,0.127,4.861,9.723,2.0,7.186
2019,2018-19,Allegheny County-South,ccofalleghenycountysouth,17.0,7.0,11.0,2.0,87.9,106.0,87.0,73.0,54.0,68.0,1.0,0.389,7.474,71.0,1.82,10.853,0.102,5.529,6.962,1.259,8.908
2019,2018-19,Allen County,allencountycommunitycollege,48.0,31.0,21.0,6.0,340.9,395.0,314.0,235.0,200.0,328.0,34.0,0.596,6.204,85.0,1.745,10.428,0.898,5.28,8.659,1.64,8.29
2019,2018-19,Alvin,alvincommunitycollege,52.0,26.0,18.0,6.0,364.9,386.0,275.0,199.0,219.0,357.0,33.0,0.591,4.908,108.0,1.658,9.52,0.814,5.401,8.805,1.63,6.783
2019,2018-19,Andrew,andrewcollege,53.0,21.0,31.0,8.0,362.1,456.0,362.0,248.0,234.0,357.0,30.0,0.404,6.164,86.0,1.906,11.334,0.746,5.816,8.873,1.526,8.998
2019,2018-19,Angelina,angelinacollege,43.0,30.0,17.0,3.0,388.7,448.0,277.0,216.0,149.0,461.0,24.0,0.638,5.001,106.0,1.536,10.373,0.556,3.45,10.674,3.094,6.414
2019,2018-19,Anne Arundel,annearundelcommunitycollege,41.0,8.0,29.0,4.0,270.5,395.0,385.0,282.0,254.0,228.0,39.0,0.216,9.383,56.0,2.399,13.142,1.298,8.451,7.586,0.898,12.81
2019,2018-19,Anoka-Ramsey,anokaramseycommunitycollege,36.0,17.0,18.0,3.0,232.5,261.0,200.0,136.0,138.0,234.0,9.0,0.486,5.265,100.0,1.716,10.103,0.348,5.342,9.058,1.696,7.742
2019,2018-19,Arizona Western,arizonawesterncollege,56.0,38.0,18.0,9.0,418.7,345.0,180.0,133.0,164.0,445.0,14.0,0.679,2.859,185.0,1.216,7.416,0.301,3.525,9.565,2.713,3.869
2019,2018-19,Arkansas Baptist,arkansasbaptistcollege,7.0,7.0,16.0,3.0,205.3,289.0,328.0,203.0,218.0,163.0,6.0,0.304,8.899,59.0,2.47,12.669,0.263,9.557,7.146,0.748,14.379
2019,2018-19,Atlantic Cape,atlanticcapecommunitycollege,36.0,16.0,18.0,1.0,241.8,263.0,204.0,154.0,135.0,251.0,10.0,0.471,5.732,92.0,1.646,9.789,0.372,5.025,9.342,1.859,7.593
2019,2018-19,Barton,bartoncommunitycollege,59.0,37.0,21.0,12.0,434.2,410.0,220.0,173.0,149.0,397.0,39.0,0.638,3.586,147.0,1.287,8.498,0.808,3.088,8.229,2.664,4.56
2019,2018-19,Baton Rouge,batonrougecommunitycollege,55.0,12.0,35.0,2.0,358.9,500.0,456.0,351.0,279.0,267.0,49.0,0.255,8.802,60.0,2.171,12.538,1.229,6.996,6.695,0.957,11.435
2019,2018-19,Bay College,baycollege,33.0,10.0,21.0,3.0,217.0,274.0,205.0,141.0,79.0,197.0,12.0,0.323,5.848,90.0,1.627,11.364,0.498,3.276,8.171,2.494,8.502
2019,2018-19,Bergen,bergencommunitycollege,33.0,19.0,15.0,5.0,241.6,208.0,223.0,158.0,267.0,253.0,9.0,0.559,5.886,90.0,1.966,7.748,0.335,9.946,9.425,0.948,8.307
2019,2018-19,Bevill State,bevillstatecommunitycollege,2.0,18.0,30.0,0.0,317.2,362.0,287.0,229.0,195.0,266.0,20.0,0.375,6.497,81.0,1.756,10.271,0.567,5.533,7.547,1.364,8.143
2019,2018-19,Bishop State,bishopstatecommunitycollege,47.0,17.0,29.0,7.0,287.2,300.0,230.0,157.0,173.0,210.0,6.0,0.37,4.92,107.0,1.647,9.401,0.188,5.421,6.581,1.214,7.208
2019,2018-19,Bismarck State,bismarckstatecollege,43.0,33.0,10.0,2.0,288.5,297.0,184.0,148.0,143.0,366.0,30.0,0.767,4.617,114.0,1.525,9.265,0.936,4.461,11.418,2.559,5.74
2019,2018-19,Black Hawk-Moline,blackhawkcollegemoline,1.0,25.0,20.0,8.0,295.1,364.0,259.0,199.0,153.0,315.0,24.0,0.556,6.069,87.0,1.752,11.101,0.732,4.666,9.607,2.059,7.899
2019,2018-19,Blinn,blinncollege,50.0,29.0,19.0,9.0,363.3,322.0,202.0,167.0,169.0,434.0,33.0,0.604,4.137,128.0,1.352,7.977,0.818,4.187,10.751,2.568,5.004
2019,2018-19,Borough of Manhattan,boroughofmanhattancommunitycollege,13.0,2.0,14.0,0.0,96.3,159.0,237.0,143.0,151.0,113.0,15.0,0.125,13.364,39.0,3.219,14.86,1.402,14.112,10.561,0.748,22.15
2019,2018-19,Bossier Parish,bossierparishcommunitycollege,28.0,31.0,21.0,9.0,370.4,359.0,265.0,193.0,160.0,415.0,41.0,0.596,4.69,113.0,1.401,8.723,0.996,3.888,10.084,2.594,6.439
2019,2018-19,Bronx,bronxcommunitycollege,32.0,15.0,15.0,1.0,201.7,265.0,273.0,221.0,192.0,177.0,18.0,0.5,9.861,54.0,2.266,11.824,0.803,8.567,7.898,0.922,12.181
2019,2018-19,Brookdale,brookdalecommunitycollege,53.0,36.0,17.0,10.0,399.7,321.0,231.0,161.0,187.0,475.0,12.0,0.679,3.625,146.0,1.271,7.228,0.27,4.211,10.696,2.54,5.201
2019,2018-19,Broward,browardcollege,2.0,20.0,24.0,9.0,366.0,395.0,249.0,192.0,165.0,291.0,23.0,0.455,4.721,112.0,1.53,9.713,0.566,4.057,7.156,1.764,6.123
2019,2018-19,Brunswick,brunswickcommunitycollege,46.0,40.0,10.0,10.0,357.1,314.0,189.0,132.0,159.0,408.0,20.0,0.8,3.327,159.0,1.325,7.914,0.504,4.007,10.283,2.566,4.763
2019,2018-19,Bryant & Stratton (VA),bryantstrattoncollegeva,38.0,12.0,27.0,2.0,293.2,385.0,374.0,288.0,247.0,327.0,34.0,0.308,8.84,60.0,2.156,11.818,1.044,7.582,10.038,1.324,11.48
2019,2018-19,Bryant & Stratton College (WI),bryantstrattoncollegewi,20.0,9.0,23.0,4.0,225.7,342.0,293.0,220.0,145.0,147.0,25.0,0.281,8.773,60.0,2.158,13.638,0.997,5.782,5.862,1.014,11.684
2019,2018-19,Bucks County,buckscountycommunitycollege,39.0,15.0,23.0,5.0,249.8,369.0,385.0,263.0,224.0,206.0,7.0,0.395,9.476,56.0,2.374,13.295,0.252,8.07,7.422,0.92,13.871
2019,2018-19,Bunker Hill,bunkerhillcommunitycollege,8.0,1.0,5.0,0.0,66.0,113.0,111.0,50.0,35.0,29.0,8.0,0.167,6.818,77.0,2.242,15.409,1.091,4.773,3.955,0.829,15.136
2019,2018-19,Butler,butlercommunitycollegeks,58.0,39.0,19.0,12.0,423.6,405.0,294.0,232.0,207.0,418.0,48.0,0.672,4.929,107.0,1.445,8.605,1.02,4.398,8.881,2.019,6.246
2019,2018-19,Butler County,butlercountycommunitycollegepa,13.0,2.0,7.0,0.0,85.5,105.0,104.0,72.0,73.0,81.0,3.0,0.222,7.579,70.0,2.082,11.053,0.316,7.684,8.526,1.11,10.947
2019,2018-19,CCBC Catonsville,ccbccatonsville,53.0,25.0,29.0,7.0,365.0,481.0,428.0,327.0,254.0,389.0,40.0,0.463,8.063,65.0,2.014,11.86,0.986,6.263,9.592,1.531,10.553
2019,2018-19,CCBC Dundalk,ccbcdundalk,26.0,10.0,20.0,2.0,242.8,332.0,288.0,232.0,172.0,293.0,27.0,0.333,8.6,61.0,2.076,12.306,1.001,6.376,10.861,1.703,10.675
2019,2018-19,CCBC Essex,ccbcessex,43.0,24.0,20.0,2.0,306.2,338.0,294.0,220.0,217.0,231.0,9.0,0.545,6.466,82.0,1.813,9.935,0.265,6.378,6.79,1.065,8.641
2019,2018-19,Calhoun,calhouncommunitycollege,22.0,12.0,30.0,3.0,319.5,447.0,354.0,267.0,194.0,213.0,29.0,0.286,7.521,70.0,2.006,12.592,0.817,5.465,6.0,1.098,9.972
2019,2018-19,Camden County,camdencountycollege,42.0,29.0,17.0,5.0,345.5,363.0,263.0,206.0,198.0,328.0,29.0,0.63,5.366,98.0,1.624,9.456,0.755,5.158,8.544,1.657,6.851
2019,2018-19,Camp,pauldcampcommunitycollege,18.0,25.0,14.0,8.0,294.9,318.0,241.0,179.0,172.0,347.0,14.0,0.641,5.463,97.0,1.662,9.705,0.427,5.249,10.59,2.017,7.355
2019,2018-19,Carl Albert State,carlalbertstatecollege,27.0,15.0,21.0,2.0,301.0,394.0,321.0,258.0,170.0,237.0,61.0,0.417,7.714,68.0,1.874,11.781,1.824,5.083,7.086,1.394,9.598
2019,2018-19,Carl Sandburg,carlsandburgcollege,2.0,27.0,13.0,0.0,275.5,323.0,255.0,210.0,147.0,320.0,26.0,0.675,6.86,77.0,1.706,10.552,0.849,4.802,10.454,2.177,8.33
2019,2018-19,Catawba Valley,catawbavalleycommunitycollege,54.0,33.0,21.0,9.0,379.5,328.0,243.0,175.0,238.0,563.0,31.0,0.611,4.15,127.0,1.491,7.779,0.735,5.644,13.352,2.366,5.763
2019,2018-19,Cayuga,cayugacommunitycollege,27.0,7.0,5.0,1.0,217.0,224.0,205.0,138.0,174.0,171.0,12.0,0.583,5.724,92.0,1.834,9.29,0.498,7.217,7.092,0.983,8.502
2019,2018-19,Cecil,cecilcollege,23.0,7.0,25.0,2.0,231.2,357.0,402.0,332.0,266.0,208.0,33.0,0.219,12.924,41.0,2.695,13.897,1.285,10.355,8.097,0.782,15.649
2019,2018-19,Central Alabama,centralalabamacommunitycollege,54.0,23.0,30.0,11.0,358.8,394.0,339.0,255.0,249.0,338.0,17.0,0.434,6.396,83.0,1.792,9.883,0.426,6.246,8.478,1.357,8.503
2019,2018-19,Central Arizona,centralarizonacollege,70.0,50.0,20.0,11.0,549.9,467.0,308.0,218.0,276.0,690.0,30.0,0.714,3.568,148.0,1.351,7.643,0.491,4.517,11.293,2.5,5.041
2019,2018-19,Central Florida,collegeofcentralflorida,53.0,44.0,9.0,10.0,394.0,375.0,243.0,184.0,223.0,490.0,24.0,0.83,4.203,126.0,1.518,8.566,0.548,5.094,11.193,2.197,5.551
2019,2018-19,Central Lakes,centrallakescollegebrainerd,47.0,24.0,22.0,6.0,310.9,416.0,307.0,230.0,177.0,269.0,7.0,0.522,6.658,79.0,1.907,12.042,0.203,5.124,7.787,1.52,8.887
2019,2018-19,Century,centurycollege,8.0,38.0,12.0,4.0,333.9,273.0,174.0,135.0,177.0,415.0,14.0,0.76,3.639,145.0,1.348,7.358,0.377,4.771,11.186,2.345,4.69
2019,2018-19,Chandler-Gilbert,chandlergilbertcommunitycollege,51.0,26.0,21.0,8.0,411.2,412.0,294.0,176.0,241.0,394.0,12.0,0.553,3.852,137.0,1.588,9.018,0.263,5.275,8.624,1.635,6.435
