season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2016,2015-16,ASA Miami,asacollegemiami,33.0,18.0,25.0,8.0,309.7,435.0,328.0,246.0,178.0,303.0,18.0,0.419,7.149,78.0,1.979,12.641,0.523,5.173,8.805,1.702,9.532
2016,2015-16,ASA New York,asabrooklynavengers,47.0,36.0,11.0,12.0,326.0,324.0,275.0,205.0,248.0,376.0,18.0,0.766,5.66,99.0,1.755,8.945,0.497,6.847,10.38,1.516,7.592
2016,2015-16,Abraham Baldwin,abrahambaldwinagriculturalcollege,55.0,26.0,28.0,9.0,381.5,475.0,305.0,196.0,174.0,361.0,32.0,0.481,4.624,121.0,1.701,11.206,0.755,4.105,8.516,2.075,7.195
2016,2015-16,Allegany Maryland,alleganycollegeofmaryland,10.0,16.0,21.0,3.0,240.8,349.0,300.0,215.0,147.0,184.0,36.0,0.432,8.036,69.0,2.06,13.044,1.346,5.494,6.877,1.252,11.213
2016,2015-16,Allegheny County-South,ccofalleghenycountysouth,26.0,11.0,5.0,3.0,72.0,64.0,48.0,34.0,48.0,64.0,3.0,0.688,4.25,131.0,1.556,8.0,0.375,6.0,8.0,1.333,6.0
2016,2015-16,Allen County,allencountycommunitycollege,57.0,28.0,29.0,7.0,385.5,500.0,423.0,304.0,252.0,378.0,52.0,0.491,7.097,79.0,1.951,11.673,1.214,5.883,8.825,1.5,9.875
2016,2015-16,Alvin,alvincommunitycollege,45.0,24.0,19.0,5.0,331.9,394.0,243.0,180.0,115.0,344.0,44.0,0.558,4.881,114.0,1.534,10.684,1.193,3.118,9.328,2.991,6.589
2016,2015-16,Andrew,andrewcollege,53.0,21.0,32.0,11.0,373.9,484.0,350.0,243.0,254.0,307.0,44.0,0.396,5.849,95.0,1.974,11.65,1.059,6.114,7.39,1.209,8.425
2016,2015-16,Angelina,angelinacollege,18.0,19.0,21.0,4.0,327.5,415.0,297.0,255.0,175.0,307.0,43.0,0.475,7.008,80.0,1.802,11.405,1.182,4.809,8.437,1.754,8.162
2016,2015-16,Anne Arundel,annearundelcommunitycollege,45.0,12.0,17.0,0.0,320.2,389.0,302.0,200.0,176.0,273.0,24.0,0.414,5.621,99.0,1.765,10.934,0.675,4.947,7.673,1.551,8.488
2016,2015-16,Anoka-Ramsey,anokaramseycommunitycollege,1.0,23.0,10.0,3.0,287.6,323.0,237.0,169.0,157.0,214.0,4.0,0.697,5.289,105.0,1.669,10.108,0.125,4.913,6.697,1.363,7.417
2016,2015-16,Arizona Western,arizonawesterncollege,6.0,28.0,25.0,6.0,378.2,437.0,288.0,210.0,221.0,382.0,23.0,0.528,4.997,112.0,1.74,10.399,0.547,5.259,9.09,1.729,6.854
2016,2015-16,Arkansas Baptist,arkansasbaptistcollege,51.0,24.0,27.0,7.0,354.8,433.0,306.0,227.0,197.0,281.0,36.0,0.471,5.758,97.0,1.776,10.984,0.913,4.997,7.128,1.426,7.762
2016,2015-16,Atlantic Cape,atlanticcapecommunitycollege,5.0,5.0,7.0,1.0,139.9,176.0,171.0,107.0,85.0,107.0,7.0,0.417,6.883,81.0,1.866,11.322,0.45,5.468,6.883,1.259,11.001
2016,2015-16,Barton,bartoncommunitycollege,51.0,29.0,26.0,4.0,390.2,533.0,371.0,272.0,186.0,374.0,43.0,0.527,6.274,89.0,1.843,12.294,0.992,4.29,8.626,2.011,8.557
2016,2015-16,Baton Rouge,batonrougecommunitycollege,44.0,15.0,24.0,2.0,306.0,415.0,353.0,253.0,181.0,243.0,30.0,0.385,7.441,75.0,1.948,12.206,0.882,5.324,7.147,1.343,10.382
2016,2015-16,Bergen,bergencommunitycollege,6.0,16.0,19.0,0.0,253.20000000000002,281.0,211.0,157.0,151.0,181.0,10.0,0.457,5.581,100.0,1.706,9.988,0.355,5.367,6.434,1.199,7.5
2016,2015-16,Bishop State,bishopstatecommunitycollege,0.0,16.0,33.0,2.0,300.6,366.0,328.0,198.0,154.0,250.0,7.0,0.327,5.928,94.0,1.73,10.958,0.21,4.611,7.485,1.623,9.82
2016,2015-16,Bismarck State,bismarckstatecollege,36.0,16.0,16.0,2.0,225.6,274.0,197.0,140.0,116.0,145.0,16.0,0.5,5.585,100.0,1.729,10.931,0.638,4.628,5.785,1.25,7.859
2016,2015-16,Black Hawk-Moline,blackhawkcollegemoline,47.0,24.0,21.0,2.0,295.0,350.0,274.0,207.0,160.0,248.0,30.0,0.533,6.315,88.0,1.729,10.678,0.915,4.881,7.566,1.55,8.359
2016,2015-16,Blinn,blinncollege,54.0,23.0,30.0,6.0,388.0,502.0,311.0,245.0,192.0,428.0,42.0,0.434,5.683,98.0,1.789,11.644,0.974,4.454,9.928,2.229,7.214
2016,2015-16,Borough of Manhattan,boroughofmanhattancommunitycollege,30.0,2.0,27.0,0.0,182.5,307.0,346.0,216.0,223.0,151.0,21.0,0.069,10.652,52.0,2.904,15.14,1.036,10.997,7.447,0.677,17.063
2016,2015-16,Bossier Parish,bossierparishcommunitycollege,50.0,21.0,28.0,10.0,360.0,462.0,314.0,211.0,171.0,273.0,31.0,0.429,5.275,106.0,1.758,11.55,0.775,4.275,6.825,1.596,7.85
2016,2015-16,Bronx,bronxcommunitycollege,25.0,8.0,21.0,1.0,189.0,283.0,266.0,196.0,158.0,146.0,17.0,0.276,9.333,60.0,2.333,13.476,0.81,7.524,6.952,0.924,12.667
2016,2015-16,Brookdale,brookdalecommunitycollege,48.0,36.0,12.0,3.0,355.4,294.0,207.0,151.0,138.0,369.0,8.0,0.75,3.824,146.0,1.216,7.445,0.203,3.495,9.344,2.674,5.242
2016,2015-16,Broward,browardcollege,54.0,32.0,21.0,13.0,433.0,424.0,269.0,185.0,230.0,388.0,19.0,0.604,3.845,145.0,1.51,8.813,0.395,4.781,8.065,1.687,5.591
2016,2015-16,Brown Mackie,brownmackiecollege,45.0,3.0,21.0,0.0,256.0,526.0,522.0,438.0,199.0,185.0,51.0,0.125,15.398,36.0,2.832,18.492,1.793,6.996,6.504,0.93,18.352
2016,2015-16,Brunswick,brunswickcommunitycollege,58.0,42.0,18.0,10.0,410.2,410.0,284.0,215.0,233.0,433.0,34.0,0.7,4.717,118.0,1.568,8.996,0.746,5.112,9.5,1.858,6.231
2016,2015-16,Bucks County,buckscountycommunitycollege,18.0,4.0,7.0,2.0,129.4,192.0,227.0,170.0,157.0,89.0,6.0,0.364,11.824,47.0,2.697,13.354,0.417,10.92,6.19,0.567,15.788
2016,2015-16,Butler,butlercommunitycollegeks,49.0,21.0,27.0,5.0,344.3,434.0,325.0,283.0,197.0,352.0,43.0,0.438,7.398,75.0,1.833,11.345,1.124,5.15,9.201,1.787,8.495
2016,2015-16,CCBC Catonsville,ccbccatonsville,53.0,32.0,18.0,12.0,359.0,358.0,246.0,184.0,176.0,338.0,32.0,0.64,4.613,121.0,1.487,8.975,0.802,4.412,8.474,1.92,6.167
2016,2015-16,CCBC Dundalk,ccbcdundalk,48.0,20.0,27.0,1.0,296.0,409.0,363.0,306.0,208.0,227.0,35.0,0.426,9.304,60.0,2.084,12.436,1.064,6.324,6.902,1.091,11.037
2016,2015-16,CCBC Essex,ccbcessex,50.0,26.0,20.0,6.0,356.7,395.0,299.0,219.0,181.0,246.0,15.0,0.565,5.526,101.0,1.615,9.966,0.378,4.567,6.207,1.359,7.544
2016,2015-16,Calhoun,calhouncommunitycollege,9.0,33.0,21.0,8.0,423.5,440.0,261.0,207.0,186.0,323.0,25.0,0.611,4.399,127.0,1.478,9.351,0.531,3.953,6.864,1.737,5.547
2016,2015-16,Camden County,camdencountycollege,44.0,24.0,19.0,7.0,290.3,315.0,254.0,183.0,177.0,253.0,28.0,0.558,5.673,98.0,1.695,9.766,0.868,5.487,7.844,1.429,7.875
2016,2015-16,Carl Albert State,carlalbertstatecollege,51.0,29.0,19.0,5.0,320.6,410.0,290.0,227.0,139.0,311.0,61.0,0.604,6.372,88.0,1.712,11.51,1.712,3.902,8.731,2.237,8.141
2016,2015-16,Carl Sandburg,carlsandburgcollege,4.0,14.0,13.0,1.0,321.1,475.0,346.0,278.0,165.0,219.0,38.0,0.519,7.792,72.0,1.993,13.314,1.065,4.625,6.138,1.327,9.698
2016,2015-16,Catawba Valley,catawbavalleycommunitycollege,51.0,30.0,23.0,9.0,363.7,396.0,333.0,247.0,245.0,384.0,37.0,0.566,6.112,91.0,1.762,9.799,0.916,6.063,9.502,1.567,8.24
2016,2015-16,Cecil,cecilcollege,46.0,11.0,9.0,3.0,328.8,377.0,278.0,203.0,197.0,330.0,33.0,0.55,5.557,100.0,1.746,10.319,0.903,5.392,9.033,1.675,7.609
2016,2015-16,Central Alabama,centralalabamacommunitycollege,56.0,13.0,42.0,1.0,387.5,448.0,330.0,234.0,200.0,332.0,30.0,0.236,5.435,103.0,1.672,10.405,0.697,4.645,7.711,1.66,7.665
2016,2015-16,Central Arizona,centralarizonacollege,59.0,45.0,14.0,11.0,442.8,475.0,326.0,245.0,264.0,495.0,24.0,0.763,4.98,112.0,1.669,9.654,0.488,5.366,10.061,1.875,6.626
2016,2015-16,Central Florida,collegeofcentralflorida,48.0,32.0,18.0,4.0,426.4,496.0,288.0,209.0,144.0,389.0,14.0,0.64,4.411,126.0,1.501,10.469,0.295,3.039,8.211,2.701,6.079
2016,2015-16,Central Lakes,centrallakescollegebrainerd,0.0,1.0,6.0,0.0,42.7,85.0,99.0,62.0,35.0,34.0,5.0,0.143,13.068,43.0,2.81,17.916,1.054,7.377,7.166,0.971,20.867
2016,2015-16,Century,centurycollege,3.0,39.0,13.0,9.0,347.1,299.0,212.0,141.0,164.0,372.0,22.0,0.75,3.656,153.0,1.334,7.753,0.57,4.252,9.646,2.268,5.497
