season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,2022-23,Barton,bartoncommunitycollege,20.0,19.0,2.0,3.0,162.3,131.0,92.0,69.0,85.0,211.0,14.0,0.905,3.826,148.0,1.331,7.264,0.776,4.713,11.701,2.482,5.102
2023,2022-23,Baton Rouge,batonrougecommunitycollege,31.0,9.0,13.0,1.0,203.2,273.0,226.0,178.0,138.0,187.0,21.0,0.409,7.884,72.0,2.023,12.092,0.93,6.112,8.282,1.355,10.01
2023,2022-23,Bergen,bergencommunitycollege,10.0,5.0,4.0,2.0,61.2,68.0,56.0,38.0,41.0,65.0,3.0,0.556,5.588,102.0,1.781,10.0,0.441,6.029,9.559,1.585,8.235
2023,2022-23,Bevill State,bevillstatecommunitycollege,2.0,20.0,9.0,4.0,169.1,188.0,147.0,116.0,103.0,216.0,16.0,0.69,6.174,92.0,1.721,10.006,0.852,5.482,11.496,2.097,7.824
2023,2022-23,Bishop State,bishopstatecommunitycollege,25.0,16.0,9.0,0.0,148.1,165.0,91.0,71.0,50.0,123.0,9.0,0.64,4.315,131.0,1.452,10.027,0.547,3.038,7.475,2.46,5.53
2023,2022-23,Bismarck State,bismarckstatecollege,2.0,8.0,1.0,0.0,47.9,44.0,38.0,25.0,28.0,66.0,1.0,0.889,4.697,121.0,1.503,8.267,0.188,5.261,12.401,2.357,7.14
2023,2022-23,Black Hawk-Moline,blackhawkcollegemoline,8.0,1.0,7.0,0.0,47.800000000000004,67.0,70.0,56.0,39.0,53.0,4.0,0.125,10.544,54.0,2.218,12.615,0.753,7.343,9.979,1.359,13.18
2023,2022-23,Blinn,blinncollege,0.0,21.0,7.0,6.0,213.1,212.0,136.0,108.0,132.0,294.0,26.0,0.75,4.561,124.0,1.614,8.954,1.098,5.575,12.417,2.227,5.744
2023,2022-23,Bossier Parish,bossierparishcommunitycollege,18.0,15.0,7.0,6.0,156.8,167.0,115.0,91.0,110.0,172.0,8.0,0.682,5.223,109.0,1.767,9.585,0.459,6.314,9.872,1.564,6.601
2023,2022-23,Bronx,bronxcommunitycollege,0.0,0.0,2.0,0.0,8.2,21.0,27.0,21.0,14.0,7.0,1.0,0.0,23.049,25.0,4.268,23.049,1.098,15.366,7.683,0.5,29.634
2023,2022-23,Brookdale,brookdalecommunitycollege,15.0,13.0,2.0,2.0,97.7,87.0,50.0,36.0,48.0,124.0,1.0,0.867,3.316,171.0,1.382,8.014,0.092,4.422,11.423,2.583,4.606
2023,2022-23,Brunswick,brunswickcommunitycollege,17.0,11.0,6.0,1.0,126.6,161.0,133.0,85.0,85.0,135.0,13.0,0.647,6.043,94.0,1.943,11.445,0.924,6.043,9.597,1.588,9.455
2023,2022-23,Bryant & Stratton (VA),bryantstrattoncollegeva,26.0,14.0,11.0,4.0,188.3,222.0,190.0,162.0,170.0,228.0,19.0,0.56,7.743,73.0,2.082,10.611,0.908,8.125,10.898,1.341,9.081
2023,2022-23,Bryant & Stratton College (WI),bryantstrattoncollegewi,10.0,7.0,3.0,3.0,65.2,64.0,46.0,30.0,44.0,79.0,2.0,0.7,4.141,137.0,1.656,8.834,0.276,6.074,10.905,1.795,6.35
2023,2022-23,Bryant & Stratton-Cleveland,bryantstrattoncleveland,7.0,3.0,0.0,0.0,44.5,41.0,22.0,16.0,17.0,53.0,1.0,1.0,3.236,175.0,1.303,8.292,0.202,3.438,10.719,3.118,4.449
2023,2022-23,Butler,butlercommunitycollegeks,22.0,13.0,9.0,4.0,185.1,179.0,143.0,108.0,107.0,214.0,16.0,0.591,5.251,108.0,1.545,8.703,0.778,5.203,10.405,2.0,6.953
2023,2022-23,CC of Allegheny County,ccofalleghenycounty,0.0,1.0,1.0,0.0,18.6,26.0,24.0,23.0,21.0,21.0,0.0,0.5,11.129,51.0,2.527,12.581,0.0,10.161,10.161,1.0,11.613
2023,2022-23,CCBC Catonsville,ccbccatonsville,13.0,6.0,7.0,2.0,129.6,133.0,93.0,83.0,81.0,101.0,6.0,0.462,5.764,98.0,1.651,9.236,0.417,5.625,7.014,1.247,6.458
2023,2022-23,CCBC Dundalk,ccbcdundalk,11.0,4.0,9.0,2.0,86.8,103.0,84.0,78.0,70.0,109.0,6.0,0.308,8.088,70.0,1.993,10.68,0.622,7.258,11.302,1.557,8.71
2023,2022-23,CCBC Essex,ccbcessex,10.0,3.0,7.0,2.0,62.3,65.0,86.0,76.0,77.0,65.0,7.0,0.3,10.979,52.0,2.279,9.39,1.011,11.124,9.39,0.844,12.424
2023,2022-23,Caldwell Tech,caldwellcommunitycollegetechnicali,21.0,17.0,2.0,2.0,140.0,129.0,97.0,72.0,77.0,138.0,14.0,0.895,4.629,123.0,1.471,8.293,0.9,4.95,8.871,1.792,6.236
2023,2022-23,Calhoun,calhouncommunitycollege,17.0,4.0,12.0,2.0,99.2,133.0,128.0,88.0,101.0,103.0,8.0,0.25,7.984,71.0,2.359,12.067,0.726,9.163,9.345,1.02,11.613
2023,2022-23,Camden County,camdencountycollege,1.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
2023,2022-23,Camp,campcommunitycollege,25.0,11.0,8.0,2.0,165.4,214.0,177.0,147.0,119.0,175.0,14.0,0.579,7.999,71.0,2.013,11.644,0.762,6.475,9.522,1.471,9.631
2023,2022-23,Carl Albert State,carlalbertstatecollege,0.0,6.0,15.0,1.0,126.3,203.0,214.0,154.0,115.0,145.0,25.0,0.286,10.974,52.0,2.518,14.466,1.781,8.195,10.333,1.261,15.249
2023,2022-23,Carl Sandburg,carlsandburgcollege,7.0,3.0,6.0,0.0,62.8,73.0,101.0,77.0,71.0,60.0,4.0,0.333,11.035,51.0,2.293,10.462,0.573,10.175,8.599,0.845,14.475
2023,2022-23,Catawba Valley,catawbavalleycommunitycollege,21.0,12.0,9.0,0.0,168.4,171.0,146.0,126.0,131.0,189.0,23.0,0.571,6.734,84.0,1.793,9.139,1.229,7.001,10.101,1.443,7.803
2023,2022-23,Cayuga,cayugacommunitycollege,5.0,4.0,1.0,0.0,33.3,35.0,21.0,18.0,14.0,23.0,1.0,0.8,4.865,117.0,1.471,9.459,0.27,3.784,6.216,1.643,5.676
