date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
May 9,home,Lamar,W,2-1,2.0,1.0,1.0,win,20140509_lf0b,3.0,0.0,1.0,,,,0.0,,1.0,,1.0,1.0,win,20140509_lf0b,,,,1.0,0.0,,,,,3.0,2014,2013-14,div1,Otero,oterojuniorcollege,anthonyboylehhhd,Anthony Boyle,,,
Feb 9,home,Northeastern Oklahoma A&M,L,5-3,5.0,3.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Feb 9,home,Northeastern Oklahoma A&M,W,4-2,4.0,2.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Feb 19,home,Tyler,L,6-4,6.0,4.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Feb 26,home,McLennan,L,5-0,5.0,0.0,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Feb 26,home,McLennan,W,2-0,2.0,0.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 6,home,Paris,W,8-5,8.0,5.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 8,home,Paris,L,1-0,1.0,0.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 8,home,Paris,L,6-0,6.0,0.0,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 15,home,Northeast Texas,W,4-0,4.0,0.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 15,home,Northeast Texas,W,4-2,4.0,2.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 20,home,Angelina,L,13-8,13.0,8.0,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 29,home,Bossier Parish,L,4-1,4.0,1.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 29,home,Bossier Parish,W,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Mar 30,home,Bossier Parish,W,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Apr 4,home,Navarro,L,10-2,10.0,2.0,8.0,win,,,,,,,,,,,,,8.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
Apr 5,home,Navarro,L,3-1,3.0,1.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Panola,panolacollege,nickfoshee5hdb,Nick Foshee,,,
