date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Apr 28,home,Cowley,L,13-3,13.0,3.0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 1,home,Cowley,L,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 1,home,Cowley,L,4-2,4.0,2.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 7,home,Dodge City,L,8-7,8.0,7.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 7,home,Dodge City,W,17-9,17.0,9.0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 8,home,Dodge City,W,14-9,14.0,9.0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 13,home,Neosho County,L,13-3,13.0,3.0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
May 14,home,Hutchinson,L,8-2,8.0,2.0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Allen County,allencountycommunitycollege,fabiogonzaleze6io,Fabio Gonzalez,,,,,,
Feb 12,home,Hesston,W,10-0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,10.0,win,,10.0,win,
Feb 12,home,Hesston,L,11-10,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Feb 27,home,Southeastern,W,4-1,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,3.0,win,,3.0,win,
Feb 27,home,Southeastern,W,12-6,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,6.0,win,,6.0,win,
Feb 28,home,Southeastern,W,17-15,17.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,2.0,win,,2.0,win,
Mar 1,home,Northern Oklahoma Tonkawa,W,11-10,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Mar 5,home,Highland (KS),W,15-1,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,14.0,win,,14.0,win,
Mar 5,home,Highland (KS),W,13-2,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,11.0,win,,11.0,win,
Mar 12,home,Allen County,L,3-2,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Mar 12,home,Allen County,L,7-4,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,3.0,win,,3.0,win,
Mar 17,home,Fort Scott,L,2-1,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Mar 17,home,Fort Scott,W,10-9,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Mar 22,home,Northern Oklahoma Tonkawa,L,20-15,20.0,15.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,5.0,win,20160322_edkg,5.0,win,20160322_edkg
Mar 24,home,Kansas City Kansas,W,4-3,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Mar 24,home,Kansas City Kansas,L,12-10,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,2.0,win,,2.0,win,
Apr 2,home,Johnson County,L,9-7,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,2.0,win,,2.0,win,
Apr 2,home,Johnson County,W,10-9,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,1.0,win,,1.0,win,
Apr 5,home,Eastern Oklahoma State,L,16-6,16.0,6.0,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,2016,2015-16,div1,Independence,independencecommunitycollege,robelinbautistahwk5,Robelin Bautista,10.0,win,20160405_j3v0,10.0,win,20160405_j3v0
