date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
Mar 14,home,Kansas City Kansas,W,10-0,10.0,0.0,10.0,win,20150314_n3za,3.0,1.0,2.0,,1.0,,2.0,,,,,10.0,win,20150314_n3za,1.0,,,4.0,1.0,,,,,4.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Mar 14,home,Kansas City Kansas,W,11-2,11.0,2.0,9.0,win,20150314_xv2l,4.0,2.0,0.0,,,,0.0,1.0,,,,9.0,win,20150314_xv2l,,,,0.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Mar 17,home,Butler,W,8-2,8.0,2.0,6.0,win,20150317_4qos,5.0,0.0,3.0,2.0,,,3.0,,,,,6.0,win,20150317_4qos,,,,5.0,2.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Mar 20,home,Johnson County,W,11-6,11.0,6.0,5.0,win,20150320_5apj,2.0,2.0,1.0,1.0,,,1.0,2.0,,,,5.0,win,20150320_5apj,,,,2.0,1.0,,,,,4.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Mar 20,home,Johnson County,L,12-9,12.0,9.0,3.0,win,20150320_6d1f,5.0,2.0,3.0,,,,2.0,,,,,3.0,win,20150320_6d1f,,,,3.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Mar 28,home,Neosho County,W,8-3,8.0,3.0,5.0,win,20150328_xq32,3.0,3.0,3.0,2.0,,1.0,1.0,,,,,5.0,win,20150328_xq32,,,,8.0,3.0,,,,,3.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Mar 28,home,Neosho County,W,13-3,13.0,3.0,10.0,win,20150328_qje9,4.0,1.0,1.0,1.0,,,1.0,1.0,,,,10.0,win,20150328_qje9,,,,2.0,1.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 4,home,Coffeyville,W,10-0,10.0,0.0,10.0,win,20150404_q7x5,3.0,1.0,2.0,1.0,,1.0,6.0,,,,,10.0,win,20150404_q7x5,,,,6.0,2.0,,,,,3.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 4,home,Coffeyville,L,5-4,5.0,4.0,1.0,win,20150404_lvg8,2.0,1.0,1.0,,,,0.0,2.0,,1.0,1.0,1.0,win,20150404_lvg8,,,,1.0,0.0,,,,,4.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 7,home,Southeast,W,11-7,11.0,7.0,4.0,win,20150407_8nj0,4.0,1.0,2.0,1.0,,,2.0,,,1.0,,4.0,win,20150407_8nj0,1.0,,,3.0,1.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 9,home,Independence,W,12-2,12.0,2.0,10.0,win,20150409_ifhu,3.0,0.0,1.0,,,,2.0,,,,1.0,10.0,win,20150409_ifhu,,1.0,1.0,1.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 9,home,Independence,W,6-4,6.0,4.0,2.0,win,20150409_fyd4,3.0,1.0,2.0,,,,2.0,1.0,,1.0,1.0,2.0,win,20150409_fyd4,,,,2.0,0.0,,,,,4.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 14,home,Seminole State (OK),W,7-6,7.0,6.0,1.0,win,20150414_k3tv,4.0,0.0,3.0,,,,3.0,1.0,,,,1.0,win,20150414_k3tv,,,,3.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 20,home,Labette,W,13-0,13.0,0.0,13.0,win,20150420_db6h,3.0,3.0,3.0,1.0,,2.0,2.0,,,,,13.0,win,20150420_db6h,,,,10.0,3.0,,,,,3.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 20,home,Labette,W,15-3,15.0,3.0,12.0,win,20150420_w0x2,2.0,4.0,2.0,1.0,,1.0,2.0,3.0,,,,12.0,win,20150420_w0x2,,,,6.0,2.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 25,home,Highland (KS),W,12-2,12.0,2.0,10.0,win,20150425_05md,1.0,2.0,1.0,,,,1.0,2.0,,,,10.0,win,20150425_05md,,1.0,1.0,1.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Apr 25,home,Highland (KS),W,11-7,11.0,7.0,4.0,win,20150425_jxnw,2.0,3.0,1.0,,,,1.0,2.0,,1.0,,4.0,win,20150425_jxnw,1.0,,,1.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
May 2,home,Colby,W,12-2,12.0,2.0,10.0,win,20150502_89uo,5.0,2.0,1.0,,,,0.0,,,1.0,,10.0,win,20150502_89uo,,,,1.0,0.0,,,,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
May 2,home,Colby,W,13-3,13.0,3.0,10.0,win,20150502_t4ww,2.0,3.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,10.0,win,20150502_t4ww,,,,4.0,1.0,,,,,4.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
May 11,home,Fort Scott,W,9-8,9.0,8.0,1.0,win,20150511_4x66,5.0,1.0,1.0,,,,0.0,,1.0,,,1.0,win,20150511_4x66,,,,1.0,0.0,,,3.0,,5.0,2015,2014-15,div1,Cowley,cowleycountycommunitycollege,garrettbengefihh,Garrett Benge,,,
Jan 31,home,McLennan,L,9-5,9.0,5.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 4,home,Temple,W,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 4,home,Temple,L,12-2,12.0,2.0,10.0,win,20150204_nq4t,0.0,0.0,0.0,,,,0.0,,,,,10.0,win,20150204_nq4t,,,,0.0,0.0,,,,,0.0,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 7,home,Angelina,W,8-6,8.0,6.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 7,home,Angelina,W,4-1,4.0,1.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 14,home,Coastal Bend,W,9-2,9.0,2.0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 14,home,Coastal Bend,W,9-2,9.0,2.0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 14,home,Coastal Bend,W,9-2,9.0,2.0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 14,home,Coastal Bend,W,9-2,9.0,2.0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 21,home,San Jacinto,L,7-4,7.0,4.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Feb 21,home,San Jacinto,L,13-2,13.0,2.0,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 4,home,Blinn,W,5-4,5.0,4.0,1.0,win,20150304_x33l,2.0,0.0,0.0,,,,0.0,,2.0,,,1.0,win,20150304_x33l,,,,0.0,0.0,,,,,2.0,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 4,home,Blinn,L,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 7,home,South Suburban,W,13-5,13.0,5.0,8.0,win,20150307_7530,1.0,0.0,1.0,,,,0.0,,,,,8.0,win,20150307_7530,,,,1.0,0.0,,,,,1.0,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 13,home,Galveston,L,7-0,7.0,0.0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 13,home,Galveston,L,11-8,11.0,8.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 19,home,Alvin,W,4-3,4.0,3.0,1.0,win,20150319_dj1a,1.0,0.0,0.0,,,,0.0,1.0,1.0,,,1.0,win,20150319_dj1a,,,,0.0,0.0,,,,,2.0,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 19,home,Alvin,L,8-2,8.0,2.0,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 26,home,San Jacinto,L,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 26,home,San Jacinto,W,10-9,10.0,9.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Mar 31,home,LSU Eunice,W,11-6,11.0,6.0,5.0,win,20150331_6pex,3.0,0.0,1.0,,,,0.0,1.0,,,,5.0,win,20150331_6pex,,,,1.0,0.0,,,,,4.0,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Apr 10,home,Laredo,W,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
Apr 10,home,Laredo,W,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2015,2014-15,div1,Wharton County,whartoncountyjuniorcollege,jorgegonzalezfajn,Jorge Gonzalez,,,
