date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Apr 3,home,Northwest Florida State,W,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,1.0,win,,1.0,win,
Apr 9,home,Pensacola State,W,1-0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,1.0,win,,1.0,win,
Apr 9,home,Pensacola State,W,4-3,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,1.0,win,,1.0,win,
Apr 11,home,Chipola,L,11-6,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,5.0,win,,5.0,win,
Apr 18,home,Gulf Coast State,W,12-3,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,9.0,win,,9.0,win,
Apr 23,home,Northwest Florida State,W,6-1,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,5.0,win,,5.0,win,
Apr 27,home,Pensacola State,W,6-3,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,3.0,win,,3.0,win,
May 7,home,Central Florida,L,9-5,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Tallahassee,tallahasseecommunitycollege,mattcoopersu1g,Matt Cooper,4.0,win,,4.0,win,
Jan 22  #,home,Bryan College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,,,,2.0,win,
Jan 30  #,home,Lee University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,,,,2.0,win,
Feb 12,home,Vincennes,W,7-4,7.0,4.0,,,,2.0,1.0,0.0,,,,0.0,1.0,,,,,,,0.0,0.0,,1.0,1.0,1.0,3.0,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,3.0,win,20220212_6w48,3.0,win,20220212_6w48
Feb 12,home,Vincennes,W,4-1,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,3.0,win,,3.0,win,
Feb 13,home,Vincennes,W,6-5,6.0,5.0,,,,2.0,1.0,0.0,,,,0.0,2.0,1.0,,,,,,0.0,0.0,,1.0,,,4.0,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,1.0,win,20220213_yc35,1.0,win,20220213_yc35
Feb 26,home,Edison State,W,10-0,10.0,0.0,,,,2.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,,,1.0,,0.0,0.0,,1.0,1.0,1.0,4.0,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,10.0,win,20220226_w0id,10.0,win,20220226_w0id
Feb 26,home,Edison State,W,8-3,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,yosuanyherrera0qkw,Yosuany Herrera,5.0,win,,5.0,win,
