date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Feb 1,home,West Georgia Tech,W,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 1,home,West Georgia Tech,W,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 3,home,Pensacola State,W,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 6,home,West Georgia Tech,L,1-0,1.0,0.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 6,home,West Georgia Tech,L,3-0,3.0,0.0,3.0,win,20180206_63zh,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 9,home,Florida SouthWestern State,L,8-2,8.0,2.0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 10,home,Florida SouthWestern State,L,6-4,6.0,4.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 10,home,Florida SouthWestern State,L,7-1,7.0,1.0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 11,home,Florida SouthWestern State,L,8-7,8.0,7.0,1.0,win,20180211_f1ny,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
Feb 13,home,Pensacola State,W,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Central Alabama,centralalabamacommunitycollege,mathewthompsonoeij,Mathew Thompson,,,,,,
