date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
Mar 15,home,Spartanburg Methodist,L,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 15,home,Spartanburg Methodist,L,11-6,11.0,6.0,5.0,win,20150315_wvfs,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,win,20150315_wvfs,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 21,home,USC Sumter,L,7-6,7.0,6.0,1.0,win,20150321_kf50,3.0,2.0,1.0,,,,0.0,,,,,1.0,win,20150321_kf50,,,1.0,1.0,0.0,,2.0,,,4.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 21,home,USC Sumter,L,4-2,4.0,2.0,2.0,win,20150321_0y8t,4.0,0.0,1.0,1.0,,,0.0,,2.0,,,2.0,win,20150321_0y8t,,,,2.0,1.0,,,1.0,,4.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 28,home,Guilford Tech,L,4-0,4.0,0.0,4.0,win,20150328_aq1t,2.0,0.0,1.0,,,,0.0,2.0,1.0,2.0,,4.0,win,20150328_aq1t,,,,1.0,0.0,,,,,4.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 28,home,Guilford Tech,W,2-1,2.0,1.0,1.0,win,20150328_podl,2.0,2.0,1.0,,,,0.0,2.0,,2.0,,1.0,win,20150328_podl,,,,1.0,0.0,,,,,4.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 29,home,Guilford Tech,L,5-4,5.0,4.0,1.0,win,20150329_474z,3.0,0.0,2.0,,,,1.0,2.0,,2.0,1.0,1.0,win,20150329_474z,,,,2.0,0.0,,,,,5.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Mar 29,home,Guilford Tech,W,2-0,2.0,0.0,2.0,win,20150329_k7f5,3.0,1.0,2.0,1.0,,,0.0,,,,,2.0,win,20150329_k7f5,,,,3.0,1.0,,,,,3.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Apr 3,home,USC Lancaster,L,8-2,8.0,2.0,6.0,win,20150403_et61,4.0,0.0,0.0,,,,0.0,,2.0,,,6.0,win,20150403_et61,,,,0.0,0.0,,,,,4.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Apr 3,home,USC Lancaster,L,8-7,8.0,7.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
Apr 4,home,USC Lancaster,W,6-4,6.0,4.0,2.0,win,20150404_plp7,4.0,1.0,1.0,,,,0.0,,,,,2.0,win,20150404_plp7,,,,1.0,0.0,,1.0,2.0,0.5,4.0,2015,2014-15,div1,USC Salkehatchie,uscsalkehatchie,dimarkussandersw3gx,DiMarkus Sanders,,,
