date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
Apr 3,home,Rend Lake,L,3-2,3.0,2.0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 11,home,Southeastern Illinois,W,11-0,11.0,0.0,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 11,home,Southeastern Illinois,W,6-3,6.0,3.0,3.0,win,20150411_mvag,0.0,0.0,0.0,,,,0.0,,,,,3.0,win,20150411_mvag,,,,0.0,0.0,,,,,0.0,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 14,home,Southwestern Illinois,L,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 14,home,Southwestern Illinois,W,4-2,4.0,2.0,2.0,win,20150414_79wa,0.0,0.0,0.0,,,,0.0,,,,,2.0,win,20150414_79wa,,,,0.0,0.0,,,,,0.0,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 16,home,Olney Central,W,8-2,8.0,2.0,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 20,home,Shawnee,W,9-5,9.0,5.0,4.0,win,20150420_6rye,0.0,0.0,0.0,,,,0.0,,,,,4.0,win,20150420_6rye,,,,0.0,0.0,,,,,0.0,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 25,home,Lincoln Trail,L,8-3,8.0,3.0,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 25,home,Lincoln Trail,L,4-2,4.0,2.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
Apr 28,home,Jefferson (MO),W,8-2,8.0,2.0,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2015,2014-15,div1,Kaskaskia,kaskaskiacollege,masonmcreaken738d,Mason McReaken,,,
