date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Mar 3,home,Central Arizona,L,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,1.0,win,,1.0,win,
Mar 3,home,Central Arizona,L,12-0,12.0,0.0,,,,2.0,0.0,0.0,,,,0.0,,,,,1.0,,,0.0,0.0,,,,,3.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,12.0,win,20180303_kien,12.0,win,20180303_kien
Mar 6,home,Cochise,W,2-0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,2.0,win,,2.0,win,
Mar 6,home,Cochise,L,5-3,5.0,3.0,,,,4.0,0.0,1.0,,,,0.0,,,,,,,,1.0,0.0,,,,,4.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,2.0,win,20180306_xoxk,2.0,win,20180306_xoxk
Mar 20,home,Mesa,L,6-1,6.0,1.0,,,,3.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,3.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,5.0,win,20180320_8402,5.0,win,20180320_8402
Mar 20,home,Mesa,L,16-5,16.0,5.0,,,,4.0,0.0,0.0,,,,1.0,,,,,,,,0.0,0.0,,,,,4.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,11.0,win,20180320_nttd,11.0,win,20180320_nttd
Mar 27,home,Pima,W,3-2,3.0,2.0,,,,3.0,0.0,2.0,1.0,,,2.0,,1.0,,,,,,3.0,1.0,,,,,3.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,1.0,win,20180327_uabd,1.0,win,20180327_uabd
Mar 27,home,Pima,L,13-2,13.0,2.0,,,,3.0,0.0,1.0,1.0,,,0.0,1.0,,,,,,,2.0,1.0,,,,,4.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,11.0,win,20180327_ojzj,11.0,win,20180327_ojzj
Apr 3,home,Chandler-Gilbert,W,3-0,3.0,0.0,,,,3.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,0.0,,,,,3.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,3.0,win,20180403_nj27,3.0,win,20180403_nj27
Apr 3,home,Chandler-Gilbert,L,9-7,9.0,7.0,,,,4.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,0.0,,,,,5.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,2.0,win,20180403_fgyu,2.0,win,20180403_fgyu
Apr 10,home,Glendale,W,2-0,2.0,0.0,,,,2.0,0.0,1.0,,,,0.0,1.0,,,,,,,1.0,0.0,,,,,3.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,2.0,win,20180410_vpkq,2.0,win,20180410_vpkq
Apr 10,home,Glendale,L,8-4,8.0,4.0,,,,4.0,0.0,1.0,1.0,,,0.0,,1.0,,,,,,2.0,1.0,,,,,4.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,4.0,win,20180410_gm08,4.0,win,20180410_gm08
Apr 21,home,Arizona Western,L,4-1,4.0,1.0,,,,3.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,3.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,3.0,win,20180421_3s31,3.0,win,20180421_3s31
Apr 21,home,Arizona Western,L,10-7,10.0,7.0,,,,3.0,1.0,0.0,,,,0.0,1.0,1.0,,,,,,0.0,0.0,,,,,4.0,2018,2017-18,div1,Eastern Arizona,easternarizonacollege,brendanpaulyilh,Brendan Paul,3.0,win,20180421_91qs,3.0,win,20180421_91qs
Jan 26,home,St. Johns River State,L,9-3,9.0,3.0,6.0,win,20180126_a8v7,3.0,0.0,1.0,,,,1.0,,,1.0,,,,,1.0,0.0,,,,,3.0,2018,2017-18,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,gunnergeorgey2iy,Gunner George,,,,,,
Jan 26,home,St. Johns River State,L,17-2,17.0,2.0,15.0,win,20180126_val8,2.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,2.0,2018,2017-18,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,gunnergeorgey2iy,Gunner George,,,,,,
Jan 27,home,St. Johns River State,W,6-5,6.0,5.0,1.0,win,20180127_vmbi,1.0,1.0,0.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,3.0,2018,2017-18,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,gunnergeorgey2iy,Gunner George,,,,,,
Jan 27,home,St. Johns River State,L,5-1,5.0,1.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,gunnergeorgey2iy,Gunner George,,,,,,
Jan 31,home,Santa Fe,L,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,gunnergeorgey2iy,Gunner George,,,,,,
Feb 6,home,Wallace-Dothan,L,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,gunnergeorgey2iy,Gunner George,,,,,,
