date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Mar 19,home,Champion Christian College,W,10-2,10.0,2.0,8.0,win,20210319_y2qy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 20,home,Panola,L,12-1,12.0,1.0,11.0,win,20210320_lgjm,2.0,0.0,0.0,,,,0.0,,1.0,,,,,,0.0,0.0,,,,,2.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 20,home,Panola,W,5-2,5.0,2.0,3.0,win,20210320_4wni,3.0,0.0,2.0,,,,2.0,2.0,,,,,,,2.0,0.0,,,,,5.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 23,home,Delgado,,,,,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 26,home,Paris,L,6-5,6.0,5.0,1.0,win,20210326_yb86,3.0,0.0,1.0,,,,0.0,,,,,1.0,,,1.0,0.0,,,,,4.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 26,home,Paris,L,11-2,11.0,2.0,9.0,win,20210326_to8o,4.0,0.0,1.0,,,,0.0,,,,,,,,1.0,0.0,,,,,4.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 29,home,Paris,W,5-4,5.0,4.0,1.0,win,20210329_d2rx,3.0,1.0,1.0,,,,0.0,1.0,,,1.0,,,,1.0,0.0,,,,,4.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 29,home,Paris,W,12-11,12.0,11.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 30,home,Champion Christian College,,,,,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 30,home,Champion Christian College,,,,,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 30,home,Champion Christian College,,,,,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Mar 30,home,Champion Christian College,,,,,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Apr 5,home,Henderson State JV,W,7-3,7.0,3.0,4.0,win,20210405_vc28,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,4.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Apr 5,home,Henderson State JV,L,5-3,5.0,3.0,2.0,win,20210405_klu6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
Apr 8,home,Tyler,L,6-2,6.0,2.0,4.0,win,20210408_v1ut,3.0,0.0,0.0,,,,0.0,,2.0,,,,,,0.0,0.0,,,,,3.0,2021,2020-21,div1,Bossier Parish,bossierparishcommunitycollege,gavinbairdmyo6,Gavin Baird,,,,,,
