date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Feb 16,home,Ranger,W,3-2,3.0,2.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 16,home,Howard (TX),W,5-0,5.0,0.0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 19,home,Navarro,,,,,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 21,home,Wharton County,L,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 23,home,Wharton County,W,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 23,home,Wharton County,W,10-4,10.0,4.0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 26,home,Temple,L,12-5,12.0,5.0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Feb 26,home,Temple,L,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 1,home,Galveston,W,9-0,9.0,0.0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 2,home,Galveston,W,3-1,3.0,1.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 2,home,Galveston,L,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 4,home,McLennan,,,,,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 8,home,Alvin,L,11-3,11.0,3.0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 8,home,Alvin,L,11-2,11.0,2.0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 9,home,Alvin,L,6-5,6.0,5.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 13,home,South Suburban,W,9-7,9.0,7.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 15,home,Laredo,W,10-5,10.0,5.0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 16,home,Laredo,W,9-2,9.0,2.0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 16,home,Laredo,L,9-3,9.0,3.0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 21,home,San Jacinto,W,3-1,3.0,1.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 22,home,San Jacinto,L,3-2,3.0,2.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 22,home,San Jacinto,L,5-1,5.0,1.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 25,home,McLennan,L,3-1,3.0,1.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 28,home,Wharton County,W,4-2,4.0,2.0,2.0,win,20190328_0d22,3.0,0.0,1.0,,,,2.0,,1.0,,,,1.0,,1.0,0.0,,,,,4.0,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 28,home,Wharton County,W,8-2,8.0,2.0,6.0,win,20190328_wra9,3.0,2.0,0.0,,,,1.0,1.0,1.0,,,1.0,,,0.0,0.0,,,,,5.0,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 29,home,Wharton County,W,11-0,11.0,0.0,11.0,win,20190329_jcrq,3.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,,4.0,1.0,,,,,3.0,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
Mar 29,home,Wharton County,L,12-10,12.0,10.0,2.0,win,20190329_5b21,4.0,2.0,2.0,2.0,,,3.0,1.0,,,,,,,4.0,2.0,,,,,5.0,2019,2018-19,div1,Blinn,blinncollege,grayrodgersg2yk,Gray Rodgers,,,,,,
