date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Apr 13,home,Snead State,W,8-7,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,1.0,win,,1.0,win,
Apr 14,home,LSU Eunice,L,8-3,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,5.0,win,,5.0,win,
Apr 14,home,LSU Eunice,W,3-2,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,1.0,win,,1.0,win,
Apr 15,home,LSU Eunice,L,5-3,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,2.0,win,,2.0,win,
Apr 23,home,Baton Rouge,W,12-6,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,6.0,win,,6.0,win,
May 1,home,Baton Rouge,L,4-3,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,1.0,win,,1.0,win,
May 6,home,Baton Rouge,W,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,skylarenlowjnzu,Skylar Enlow,1.0,win,,1.0,win,
Feb 3,home,Walters State,W,6-5,6.0,5.0,,,,3.0,0.0,0.0,,,,0.0,,1.0,,,,,,0.0,0.0,,,,,3.0,2017,2016-17,div1,Chipola,chipolacollege,maxguzmanfd1r,Max Guzman,1.0,win,20170203_ekw3,1.0,win,20170203_ekw3
Feb 3,home,San Jacinto,L,6-0,6.0,0.0,,,,0.0,0.0,0.0,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,2.0,2017,2016-17,div1,Chipola,chipolacollege,maxguzmanfd1r,Max Guzman,6.0,win,20170203_0swu,6.0,win,20170203_0swu
Feb 4,home,San Jacinto,W,8-0,8.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,1.0,,,0.0,0.0,,,,,1.0,2017,2016-17,div1,Chipola,chipolacollege,maxguzmanfd1r,Max Guzman,8.0,win,20170204_e4y4,8.0,win,20170204_e4y4
