date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Apr 7,home,Panola,W,15-7,15.0,7.0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 9,home,Panola,L,3-2,3.0,2.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 9,home,Panola,L,10-4,10.0,4.0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 12,home,Dallas College - Mountain View,L,6-4,6.0,4.0,2.0,win,20160412_8a1f,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 14,home,Paris,W,5-3,5.0,3.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 16,home,Paris,L,3-0,3.0,0.0,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 16,home,Paris,W,7-5,7.0,5.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 18,home,Tyler,,,,,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 22,home,Angelina,L,11-2,11.0,2.0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 23,home,Angelina,L,5-0,5.0,0.0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 23,home,Angelina,L,4-1,4.0,1.0,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 26,home,Centenary College JV,W,10-2,10.0,2.0,8.0,win,20160426_slk8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Apr 30,home,Navarro,L,8-7,8.0,7.0,1.0,win,20160430_fqyx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
May 1,home,Navarro,L,9-4,9.0,4.0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
May 1,home,Navarro,L,4-3,4.0,3.0,1.0,win,20160501_gzlq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
May 5,home,Northeast Texas,W,10-6,10.0,6.0,4.0,win,20160505_k3vm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
May 7,home,Northeast Texas,W,11-7,11.0,7.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
