date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
Feb 14,home,Miami Dade,L,7-4,7.0,4.0,3.0,win,20200214_wfrr,0.0,0.0,0.0,,,,0.0,,,,,3.0,win,20200214_wfrr,,,,0.0,0.0,,,,,0.0,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 15,home,Florida SouthWestern State,L,8-6,8.0,6.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 15,home,Gulf Coast State,L,5-0,5.0,0.0,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 20,home,Florence-Darlington Tech,L,9-0,9.0,0.0,9.0,win,,,,,,,,,,,,,9.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 21,home,State College of Florida,W,3-2,3.0,2.0,1.0,win,20200221_7zly,0.0,0.0,0.0,,,,0.0,,,,,1.0,win,20200221_7zly,,,,0.0,0.0,,,,,0.0,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 22,home,Hillsborough,L,4-2,4.0,2.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 23,home,East Georgia State,L,9-0,9.0,0.0,9.0,win,,,,,,,,,,,,,9.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 27,home,Tallahassee,L,6-0,6.0,0.0,6.0,win,20200227_v9ex,0.0,0.0,0.0,,,,0.0,,,,,6.0,win,20200227_v9ex,,,,0.0,0.0,,,,,0.0,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 29,home,Rollins College JV,W,9-4,9.0,4.0,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 4,home,Lake-Sumter State,L,13-5,13.0,5.0,8.0,win,20200304_hjbz,0.0,0.0,0.0,,,,0.0,,,,,8.0,win,20200304_hjbz,,,,0.0,0.0,,,,,0.0,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 7,home,Seminole State (FL),L,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 11,home,Seminole State (FL),L,9-8,9.0,8.0,1.0,win,20200311_qw8i,0.0,0.0,0.0,,,,0.0,,,,,1.0,win,20200311_qw8i,,,,0.0,0.0,,,,,0.0,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 14,home,Daytona State,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 20,home,Santa Fe,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 23,home,Santa Fe,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 25,home,Central Florida,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Mar 28,home,Central Florida,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Apr 4,home,Pasco-Hernando State,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Apr 8,home,Florida State Jacksonville,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Apr 11,home,Lake-Sumter State,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Apr 15,home,Daytona State,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Apr 22,home,Florida State Jacksonville,,,,,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,jasongonzalez30st,Jason Gonzalez,,,
Feb 23,home,Prairie State,W,15-12,15.0,12.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 5,home,Kishwaukee,,,,,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 5,home,Kishwaukee,,,,,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 5,home,Kishwaukee,,,,,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 5,home,Kishwaukee,,,,,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 7,home,Kishwaukee,W,8-4,8.0,4.0,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 7,home,Kishwaukee,,,,,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 10,home,Kennedy-King,W,8-5,8.0,5.0,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 17,home,Kennedy-King,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 21,home,Harry S. Truman,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 21,home,Harry S. Truman,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 21,home,Harry S. Truman,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 21,home,Harry S. Truman,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 25,home,Bryant & Stratton College (WI),,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 25,home,Bryant & Stratton College (WI),,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 25,home,Bryant & Stratton College (WI),,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 25,home,Bryant & Stratton College (WI),,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
