date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
Feb 2,home,Broward,W,3-2,3.0,2.0,1.0,win,20140202_idz7,3.0,1.0,0.0,,,,1.0,1.0,1.0,,,1.0,win,20140202_idz7,,,,0.0,0.0,,,,,4.0,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 5,home,Central Florida,W,3-2,3.0,2.0,1.0,win,20140205_fbsz,4.0,0.0,1.0,,,,0.0,,1.0,,,1.0,win,20140205_fbsz,,,,1.0,0.0,,,,,4.0,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 7,home,Santa Fe,W,14-8,14.0,8.0,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 8,home,Miami Dade,W,4-2,4.0,2.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 8,home,Miami Dade,L,9-1,9.0,1.0,8.0,win,20140208_sjvf,3.0,0.0,0.0,,,,0.0,,3.0,,,8.0,win,20140208_sjvf,,,,0.0,0.0,,,,,3.0,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 9,home,Pasco-Hernando State,W,18-6,18.0,6.0,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 11,home,Seminole State (FL),W,10-6,10.0,6.0,4.0,win,20140211_cpp4,4.0,1.0,1.0,,,,1.0,,,1.0,,4.0,win,20140211_cpp4,,,,1.0,0.0,,,,,4.0,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 14,home,Santa Fe,W,7-5,7.0,5.0,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 15,home,Broward,W,8-2,8.0,2.0,6.0,win,20140215_b1dv,3.0,0.0,1.0,1.0,,,1.0,1.0,,,,6.0,win,20140215_b1dv,1.0,,,2.0,1.0,,,,,5.0,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
Feb 15,home,Glen Oaks,W,8-1,8.0,1.0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2014,2013-14,div1,St. Petersburg,stpetersburgcollege,jabemolinarodbsg,Jabe Molinaro,,,
