season,njcaa_season,team,team_id,player_id,player_name,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,beaubrand2wnr,Beau Brand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,cameronsumnertxow,Cameron Sumner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,chasincash5i6w,Chasin Cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,colbyschachtnerxjws,Colby Schachtner,0.0,0.0,0.0,0.0,1.4,5.0,4.0,4.0,1.0,2.0,0.0,,25.714,21.0,4.286,32.143,0.0,6.429,12.857,2.0,25.714
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,drewrothschildp30i,Drew Rothschild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,dylantaylor5f7t,Dylan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,gavinbarnell53t2,Gavin Barnell,2.0,0.0,0.0,0.0,10.1,3.0,4.0,2.0,5.0,16.0,1.0,,1.782,309.0,0.792,2.673,0.891,4.455,14.257,3.2,3.564
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,graysonhopkins29va,Grayson Hopkins,0.0,0.0,0.0,0.0,3.3,4.0,4.0,3.0,3.0,8.0,0.0,,8.182,67.0,2.121,10.909,0.0,8.182,21.818,2.667,10.909
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,griffinrowe2lw9,Griffin Rowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Abraham Baldwin,abrahambaldwinagriculturalcollege,jabaridanielyzwkq,Jabari Daniely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
